"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.77267840582E-001, +0.00000000000E+000
+1.00090000000E+009, -2.45244548369E-001, +0.00000000000E+000
+1.00180000000E+009, -2.39246530233E-001, +0.00000000000E+000
+1.00270000000E+009, -2.35402581483E-001, +0.00000000000E+000
+1.00360000000E+009, -2.39460592799E-001, +0.00000000000E+000
+1.00450000000E+009, -2.37518567682E-001, +0.00000000000E+000
+1.00540000000E+009, -2.34788812438E-001, +0.00000000000E+000
+1.00630000000E+009, -2.34009181358E-001, +0.00000000000E+000
+1.00720000000E+009, -2.28170890059E-001, +0.00000000000E+000
+1.00810000000E+009, -2.34520520610E-001, +0.00000000000E+000
+1.00900000000E+009, -2.35704987308E-001, +0.00000000000E+000
+1.00990000000E+009, -2.34705110126E-001, +0.00000000000E+000
+1.01080000000E+009, -2.34422885044E-001, +0.00000000000E+000
+1.01170000000E+009, -2.36799656106E-001, +0.00000000000E+000
+1.01260000000E+009, -2.33677440867E-001, +0.00000000000E+000
+1.01350000000E+009, -2.37750749620E-001, +0.00000000000E+000
+1.01440000000E+009, -2.40862732807E-001, +0.00000000000E+000
+1.01530000000E+009, -2.43272046321E-001, +0.00000000000E+000
+1.01620000000E+009, -2.40219316531E-001, +0.00000000000E+000
+1.01710000000E+009, -2.42521797847E-001, +0.00000000000E+000
+1.01800000000E+009, -2.42027095400E-001, +0.00000000000E+000
+1.01890000000E+009, -2.44420690973E-001, +0.00000000000E+000
+1.01980000000E+009, -2.47864360945E-001, +0.00000000000E+000
+1.02070000000E+009, -2.49960744338E-001, +0.00000000000E+000
+1.02160000000E+009, -2.50450924217E-001, +0.00000000000E+000
+1.02250000000E+009, -2.48344074790E-001, +0.00000000000E+000
+1.02340000000E+009, -2.47729558614E-001, +0.00000000000E+000
+1.02430000000E+009, -2.56982509810E-001, +0.00000000000E+000
+1.02520000000E+009, -2.53767382556E-001, +0.00000000000E+000
+1.02610000000E+009, -2.57946084527E-001, +0.00000000000E+000
+1.02700000000E+009, -2.56769818683E-001, +0.00000000000E+000
+1.02790000000E+009, -2.59105882811E-001, +0.00000000000E+000
+1.02880000000E+009, -2.62612545681E-001, +0.00000000000E+000
+1.02970000000E+009, -2.56757718020E-001, +0.00000000000E+000
+1.03060000000E+009, -2.61111627234E-001, +0.00000000000E+000
+1.03150000000E+009, -2.63280630620E-001, +0.00000000000E+000
+1.03240000000E+009, -2.58770594300E-001, +0.00000000000E+000
+1.03330000000E+009, -2.63563152648E-001, +0.00000000000E+000
+1.03420000000E+009, -2.65341931341E-001, +0.00000000000E+000
+1.03510000000E+009, -2.66557421292E-001, +0.00000000000E+000
+1.03600000000E+009, -2.67279236955E-001, +0.00000000000E+000
+1.03690000000E+009, -2.69751000795E-001, +0.00000000000E+000
+1.03780000000E+009, -2.68366256150E-001, +0.00000000000E+000
+1.03870000000E+009, -2.69465762452E-001, +0.00000000000E+000
+1.03960000000E+009, -2.72076921169E-001, +0.00000000000E+000
+1.04050000000E+009, -2.72896900754E-001, +0.00000000000E+000
+1.04140000000E+009, -2.72513319750E-001, +0.00000000000E+000
+1.04230000000E+009, -2.72256337162E-001, +0.00000000000E+000
+1.04320000000E+009, -2.72959095174E-001, +0.00000000000E+000
+1.04410000000E+009, -2.75245633847E-001, +0.00000000000E+000
+1.04500000000E+009, -2.74079726501E-001, +0.00000000000E+000
+1.04590000000E+009, -2.72135560981E-001, +0.00000000000E+000
+1.04680000000E+009, -2.75012452155E-001, +0.00000000000E+000
+1.04770000000E+009, -2.77075925575E-001, +0.00000000000E+000
+1.04860000000E+009, -2.73930871387E-001, +0.00000000000E+000
+1.04950000000E+009, -2.75495284891E-001, +0.00000000000E+000
+1.05040000000E+009, -2.75631932970E-001, +0.00000000000E+000
+1.05130000000E+009, -2.76155615007E-001, +0.00000000000E+000
+1.05220000000E+009, -2.76429323309E-001, +0.00000000000E+000
+1.05310000000E+009, -2.75238364863E-001, +0.00000000000E+000
+1.05400000000E+009, -2.77813148028E-001, +0.00000000000E+000
+1.05490000000E+009, -2.74203973750E-001, +0.00000000000E+000
+1.05580000000E+009, -2.76021118469E-001, +0.00000000000E+000
+1.05670000000E+009, -2.75082806295E-001, +0.00000000000E+000
+1.05760000000E+009, -2.75555704412E-001, +0.00000000000E+000
+1.05850000000E+009, -2.78599167655E-001, +0.00000000000E+000
+1.05940000000E+009, -2.76879336232E-001, +0.00000000000E+000
+1.06030000000E+009, -2.78136912078E-001, +0.00000000000E+000
+1.06120000000E+009, -2.76616903083E-001, +0.00000000000E+000
+1.06210000000E+009, -2.77122401614E-001, +0.00000000000E+000
+1.06300000000E+009, -2.75282003444E-001, +0.00000000000E+000
+1.06390000000E+009, -2.76398817217E-001, +0.00000000000E+000
+1.06480000000E+009, -2.76339561319E-001, +0.00000000000E+000
+1.06570000000E+009, -2.75733497153E-001, +0.00000000000E+000
+1.06660000000E+009, -2.74344706850E-001, +0.00000000000E+000
+1.06750000000E+009, -2.78946059366E-001, +0.00000000000E+000
+1.06840000000E+009, -2.80695821529E-001, +0.00000000000E+000
+1.06930000000E+009, -2.78925161686E-001, +0.00000000000E+000
+1.07020000000E+009, -2.83763421897E-001, +0.00000000000E+000
+1.07110000000E+009, -2.83905118363E-001, +0.00000000000E+000
+1.07200000000E+009, -2.81165737679E-001, +0.00000000000E+000
+1.07290000000E+009, -2.84945174425E-001, +0.00000000000E+000
+1.07380000000E+009, -2.83402023570E-001, +0.00000000000E+000
+1.07470000000E+009, -2.85146150690E-001, +0.00000000000E+000
+1.07560000000E+009, -2.87677830617E-001, +0.00000000000E+000
+1.07650000000E+009, -2.92100668818E-001, +0.00000000000E+000
+1.07740000000E+009, -2.83839792958E-001, +0.00000000000E+000
+1.07830000000E+009, -2.92278895638E-001, +0.00000000000E+000
+1.07920000000E+009, -2.89185637224E-001, +0.00000000000E+000
+1.08010000000E+009, -2.89941013474E-001, +0.00000000000E+000
+1.08100000000E+009, -2.97814726505E-001, +0.00000000000E+000
+1.08190000000E+009, -2.92284846945E-001, +0.00000000000E+000
+1.08280000000E+009, -2.93961258402E-001, +0.00000000000E+000
+1.08370000000E+009, -2.98975740185E-001, +0.00000000000E+000
+1.08460000000E+009, -3.00907957589E-001, +0.00000000000E+000
+1.08550000000E+009, -2.98153216642E-001, +0.00000000000E+000
+1.08640000000E+009, -2.98875520069E-001, +0.00000000000E+000
+1.08730000000E+009, -2.99869264124E-001, +0.00000000000E+000
+1.08820000000E+009, -3.02091183724E-001, +0.00000000000E+000
+1.08910000000E+009, -3.04386628120E-001, +0.00000000000E+000
+1.09000000000E+009, -3.01897222990E-001, +0.00000000000E+000
+1.09090000000E+009, -3.06105850663E-001, +0.00000000000E+000
+1.09180000000E+009, -3.10564755654E-001, +0.00000000000E+000
+1.09270000000E+009, -3.04482695234E-001, +0.00000000000E+000
+1.09360000000E+009, -3.05743873714E-001, +0.00000000000E+000
+1.09450000000E+009, -3.01149300160E-001, +0.00000000000E+000
+1.09540000000E+009, -3.06467204830E-001, +0.00000000000E+000
+1.09630000000E+009, -3.05941325202E-001, +0.00000000000E+000
+1.09720000000E+009, -3.08290440637E-001, +0.00000000000E+000
+1.09810000000E+009, -3.09446521140E-001, +0.00000000000E+000
+1.09900000000E+009, -3.14712825348E-001, +0.00000000000E+000
+1.09990000000E+009, -3.12261769760E-001, +0.00000000000E+000
+1.10080000000E+009, -3.10234701425E-001, +0.00000000000E+000
+1.10170000000E+009, -3.19386052028E-001, +0.00000000000E+000
+1.10260000000E+009, -3.15337544185E-001, +0.00000000000E+000
+1.10350000000E+009, -3.16469982134E-001, +0.00000000000E+000
+1.10440000000E+009, -3.19032667499E-001, +0.00000000000E+000
+1.10530000000E+009, -3.21765976298E-001, +0.00000000000E+000
+1.10620000000E+009, -3.25289135044E-001, +0.00000000000E+000
+1.10710000000E+009, -3.21172320254E-001, +0.00000000000E+000
+1.10800000000E+009, -3.25309981108E-001, +0.00000000000E+000
+1.10890000000E+009, -3.23769060335E-001, +0.00000000000E+000
+1.10980000000E+009, -3.31554373191E-001, +0.00000000000E+000
+1.11070000000E+009, -3.26973420116E-001, +0.00000000000E+000
+1.11160000000E+009, -3.36814786023E-001, +0.00000000000E+000
+1.11250000000E+009, -3.36421359217E-001, +0.00000000000E+000
+1.11340000000E+009, -3.35156618563E-001, +0.00000000000E+000
+1.11430000000E+009, -3.35175769294E-001, +0.00000000000E+000
+1.11520000000E+009, -3.37845687830E-001, +0.00000000000E+000
+1.11610000000E+009, -3.40487760538E-001, +0.00000000000E+000
+1.11700000000E+009, -3.45229964662E-001, +0.00000000000E+000
+1.11790000000E+009, -3.42246334215E-001, +0.00000000000E+000
+1.11880000000E+009, -3.48419399451E-001, +0.00000000000E+000
+1.11970000000E+009, -3.45832987244E-001, +0.00000000000E+000
+1.12060000000E+009, -3.48065068674E-001, +0.00000000000E+000
