"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.66920627929E-001, +0.00000000000E+000
+1.00090000000E+009, -2.33617708627E-001, +0.00000000000E+000
+1.00180000000E+009, -2.30513680246E-001, +0.00000000000E+000
+1.00270000000E+009, -2.25132579635E-001, +0.00000000000E+000
+1.00360000000E+009, -2.29019403535E-001, +0.00000000000E+000
+1.00450000000E+009, -2.27284505982E-001, +0.00000000000E+000
+1.00540000000E+009, -2.25331928563E-001, +0.00000000000E+000
+1.00630000000E+009, -2.23305478504E-001, +0.00000000000E+000
+1.00720000000E+009, -2.19399139441E-001, +0.00000000000E+000
+1.00810000000E+009, -2.25693714163E-001, +0.00000000000E+000
+1.00900000000E+009, -2.25189227169E-001, +0.00000000000E+000
+1.00990000000E+009, -2.23924962332E-001, +0.00000000000E+000
+1.01080000000E+009, -2.23151672434E-001, +0.00000000000E+000
+1.01170000000E+009, -2.24512968912E-001, +0.00000000000E+000
+1.01260000000E+009, -2.22428071916E-001, +0.00000000000E+000
+1.01350000000E+009, -2.27949545212E-001, +0.00000000000E+000
+1.01440000000E+009, -2.30517203937E-001, +0.00000000000E+000
+1.01530000000E+009, -2.30323254279E-001, +0.00000000000E+000
+1.01620000000E+009, -2.26475298679E-001, +0.00000000000E+000
+1.01710000000E+009, -2.29853865432E-001, +0.00000000000E+000
+1.01800000000E+009, -2.28710662742E-001, +0.00000000000E+000
+1.01890000000E+009, -2.30831986277E-001, +0.00000000000E+000
+1.01980000000E+009, -2.35964765049E-001, +0.00000000000E+000
+1.02070000000E+009, -2.35290285442E-001, +0.00000000000E+000
+1.02160000000E+009, -2.37757249389E-001, +0.00000000000E+000
+1.02250000000E+009, -2.34458816142E-001, +0.00000000000E+000
+1.02340000000E+009, -2.36209595183E-001, +0.00000000000E+000
+1.02430000000E+009, -2.42254722042E-001, +0.00000000000E+000
+1.02520000000E+009, -2.39859940191E-001, +0.00000000000E+000
+1.02610000000E+009, -2.44646389614E-001, +0.00000000000E+000
+1.02700000000E+009, -2.41238788853E-001, +0.00000000000E+000
+1.02790000000E+009, -2.48622383408E-001, +0.00000000000E+000
+1.02880000000E+009, -2.46378199894E-001, +0.00000000000E+000
+1.02970000000E+009, -2.41631853762E-001, +0.00000000000E+000
+1.03060000000E+009, -2.48677363433E-001, +0.00000000000E+000
+1.03150000000E+009, -2.49262396936E-001, +0.00000000000E+000
+1.03240000000E+009, -2.42688855448E-001, +0.00000000000E+000
+1.03330000000E+009, -2.46372353043E-001, +0.00000000000E+000
+1.03420000000E+009, -2.47631984016E-001, +0.00000000000E+000
+1.03510000000E+009, -2.50309830754E-001, +0.00000000000E+000
+1.03600000000E+009, -2.52724626448E-001, +0.00000000000E+000
