"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.69803338771E-001, +0.00000000000E+000
+1.00090000000E+009, -2.42247748599E-001, +0.00000000000E+000
+1.00180000000E+009, -2.34006219231E-001, +0.00000000000E+000
+1.00270000000E+009, -2.31470501256E-001, +0.00000000000E+000
+1.00360000000E+009, -2.33296970383E-001, +0.00000000000E+000
+1.00450000000E+009, -2.34017792949E-001, +0.00000000000E+000
+1.00540000000E+009, -2.27440704751E-001, +0.00000000000E+000
+1.00630000000E+009, -2.27066928978E-001, +0.00000000000E+000
+1.00720000000E+009, -2.22233935510E-001, +0.00000000000E+000
+1.00810000000E+009, -2.28802040190E-001, +0.00000000000E+000
+1.00900000000E+009, -2.29829125836E-001, +0.00000000000E+000
+1.00990000000E+009, -2.29075783039E-001, +0.00000000000E+000
+1.01080000000E+009, -2.28070609701E-001, +0.00000000000E+000
+1.01170000000E+009, -2.29085115130E-001, +0.00000000000E+000
+1.01260000000E+009, -2.29920315917E-001, +0.00000000000E+000
+1.01350000000E+009, -2.34845131030E-001, +0.00000000000E+000
+1.01440000000E+009, -2.35376793734E-001, +0.00000000000E+000
+1.01530000000E+009, -2.39232345609E-001, +0.00000000000E+000
+1.01620000000E+009, -2.32233090246E-001, +0.00000000000E+000
+1.01710000000E+009, -2.33085847205E-001, +0.00000000000E+000
+1.01800000000E+009, -2.34270786537E-001, +0.00000000000E+000
+1.01890000000E+009, -2.35970161770E-001, +0.00000000000E+000
+1.01980000000E+009, -2.42181370904E-001, +0.00000000000E+000
+1.02070000000E+009, -2.40547130180E-001, +0.00000000000E+000
+1.02160000000E+009, -2.43134462096E-001, +0.00000000000E+000
+1.02250000000E+009, -2.41097754517E-001, +0.00000000000E+000
+1.02340000000E+009, -2.39997015685E-001, +0.00000000000E+000
+1.02430000000E+009, -2.49379519178E-001, +0.00000000000E+000
+1.02520000000E+009, -2.44586373180E-001, +0.00000000000E+000
+1.02610000000E+009, -2.50615824386E-001, +0.00000000000E+000
+1.02700000000E+009, -2.49179493539E-001, +0.00000000000E+000
+1.02790000000E+009, -2.52466592643E-001, +0.00000000000E+000
+1.02880000000E+009, -2.57939045825E-001, +0.00000000000E+000
+1.02970000000E+009, -2.50654671968E-001, +0.00000000000E+000
+1.03060000000E+009, -2.52981550211E-001, +0.00000000000E+000
+1.03150000000E+009, -2.57619224905E-001, +0.00000000000E+000
+1.03240000000E+009, -2.48825176244E-001, +0.00000000000E+000
+1.03330000000E+009, -2.55281999245E-001, +0.00000000000E+000
+1.03420000000E+009, -2.55182195289E-001, +0.00000000000E+000
+1.03510000000E+009, -2.61438735545E-001, +0.00000000000E+000
+1.03600000000E+009, -2.59305808563E-001, +0.00000000000E+000
+1.03690000000E+009, -2.62517733027E-001, +0.00000000000E+000
+1.03780000000E+009, -2.61704821009E-001, +0.00000000000E+000
+1.03870000000E+009, -2.64519123573E-001, +0.00000000000E+000
+1.03960000000E+009, -2.66137438669E-001, +0.00000000000E+000
+1.04050000000E+009, -2.62494847446E-001, +0.00000000000E+000
+1.04140000000E+009, -2.63812993909E-001, +0.00000000000E+000
+1.04230000000E+009, -2.67335748784E-001, +0.00000000000E+000
+1.04320000000E+009, -2.65432417748E-001, +0.00000000000E+000
+1.04410000000E+009, -2.70606947916E-001, +0.00000000000E+000
+1.04500000000E+009, -2.66446286320E-001, +0.00000000000E+000
+1.04590000000E+009, -2.65115562438E-001, +0.00000000000E+000
+1.04680000000E+009, -2.66192671711E-001, +0.00000000000E+000
+1.04770000000E+009, -2.74213597098E-001, +0.00000000000E+000
+1.04860000000E+009, -2.66919473837E-001, +0.00000000000E+000
+1.04950000000E+009, -2.71176193003E-001, +0.00000000000E+000
+1.05040000000E+009, -2.67668576947E-001, +0.00000000000E+000
+1.05130000000E+009, -2.67951534702E-001, +0.00000000000E+000
+1.05220000000E+009, -2.68125674597E-001, +0.00000000000E+000
+1.05310000000E+009, -2.71447981332E-001, +0.00000000000E+000
+1.05400000000E+009, -2.70163996993E-001, +0.00000000000E+000
+1.05490000000E+009, -2.70902465389E-001, +0.00000000000E+000
+1.05580000000E+009, -2.69272372497E-001, +0.00000000000E+000
+1.05670000000E+009, -2.70388446889E-001, +0.00000000000E+000
+1.05760000000E+009, -2.71317719453E-001, +0.00000000000E+000
+1.05850000000E+009, -2.70261449536E-001, +0.00000000000E+000
+1.05940000000E+009, -2.73065521889E-001, +0.00000000000E+000
+1.06030000000E+009, -2.73729708150E-001, +0.00000000000E+000
+1.06120000000E+009, -2.71836870496E-001, +0.00000000000E+000
+1.06210000000E+009, -2.71183785407E-001, +0.00000000000E+000
+1.06300000000E+009, -2.69871979041E-001, +0.00000000000E+000
+1.06390000000E+009, -2.72189079349E-001, +0.00000000000E+000
+1.06480000000E+009, -2.70842556104E-001, +0.00000000000E+000
+1.06570000000E+009, -2.71216766007E-001, +0.00000000000E+000
+1.06660000000E+009, -2.67593162710E-001, +0.00000000000E+000
+1.06750000000E+009, -2.75355106961E-001, +0.00000000000E+000
+1.06840000000E+009, -2.73982136085E-001, +0.00000000000E+000
+1.06930000000E+009, -2.75701133066E-001, +0.00000000000E+000
+1.07020000000E+009, -2.79900177897E-001, +0.00000000000E+000
+1.07110000000E+009, -2.80945490732E-001, +0.00000000000E+000
+1.07200000000E+009, -2.80048328309E-001, +0.00000000000E+000
+1.07290000000E+009, -2.77671627466E-001, +0.00000000000E+000
+1.07380000000E+009, -2.80794824281E-001, +0.00000000000E+000
+1.07470000000E+009, -2.80357298751E-001, +0.00000000000E+000
+1.07560000000E+009, -2.81368696357E-001, +0.00000000000E+000
+1.07650000000E+009, -2.87226262667E-001, +0.00000000000E+000
+1.07740000000E+009, -2.84178603883E-001, +0.00000000000E+000
+1.07830000000E+009, -2.86432071394E-001, +0.00000000000E+000
+1.07920000000E+009, -2.84985052045E-001, +0.00000000000E+000
+1.08010000000E+009, -2.86134082906E-001, +0.00000000000E+000
+1.08100000000E+009, -2.93552748813E-001, +0.00000000000E+000
+1.08190000000E+009, -2.85622124087E-001, +0.00000000000E+000
+1.08280000000E+009, -2.91510132668E-001, +0.00000000000E+000
+1.08370000000E+009, -2.97747545390E-001, +0.00000000000E+000
+1.08460000000E+009, -2.99123454179E-001, +0.00000000000E+000
+1.08550000000E+009, -2.92173558546E-001, +0.00000000000E+000
+1.08640000000E+009, -2.96547310256E-001, +0.00000000000E+000
+1.08730000000E+009, -2.92979169575E-001, +0.00000000000E+000
+1.08820000000E+009, -2.95168066394E-001, +0.00000000000E+000
+1.08910000000E+009, -2.97785897710E-001, +0.00000000000E+000
+1.09000000000E+009, -2.95128928006E-001, +0.00000000000E+000
+1.09090000000E+009, -3.02173301126E-001, +0.00000000000E+000
+1.09180000000E+009, -3.04536321156E-001, +0.00000000000E+000
+1.09270000000E+009, -3.00324476529E-001, +0.00000000000E+000
+1.09360000000E+009, -2.99950517223E-001, +0.00000000000E+000
+1.09450000000E+009, -2.95458517668E-001, +0.00000000000E+000
+1.09540000000E+009, -3.05217895063E-001, +0.00000000000E+000
+1.09630000000E+009, -3.00465378574E-001, +0.00000000000E+000
+1.09720000000E+009, -3.02767668580E-001, +0.00000000000E+000
+1.09810000000E+009, -2.99536412945E-001, +0.00000000000E+000
+1.09900000000E+009, -3.03922416210E-001, +0.00000000000E+000
+1.09990000000E+009, -3.06325418014E-001, +0.00000000000E+000
+1.10080000000E+009, -3.03414345789E-001, +0.00000000000E+000
+1.10170000000E+009, -3.08523799214E-001, +0.00000000000E+000
+1.10260000000E+009, -3.06124419735E-001, +0.00000000000E+000
+1.10350000000E+009, -3.06879721788E-001, +0.00000000000E+000
+1.10440000000E+009, -3.12599166599E-001, +0.00000000000E+000
+1.10530000000E+009, -3.15270305979E-001, +0.00000000000E+000
+1.10620000000E+009, -3.17475990339E-001, +0.00000000000E+000
+1.10710000000E+009, -3.11609773584E-001, +0.00000000000E+000
+1.10800000000E+009, -3.16432611729E-001, +0.00000000000E+000
+1.10890000000E+009, -3.11918785766E-001, +0.00000000000E+000
+1.10980000000E+009, -3.20803271038E-001, +0.00000000000E+000
+1.11070000000E+009, -3.18482189827E-001, +0.00000000000E+000
+1.11160000000E+009, -3.24968211392E-001, +0.00000000000E+000
+1.11250000000E+009, -3.26218545380E-001, +0.00000000000E+000
+1.11340000000E+009, -3.24269774165E-001, +0.00000000000E+000
+1.11430000000E+009, -3.25941387907E-001, +0.00000000000E+000
+1.11520000000E+009, -3.26237638471E-001, +0.00000000000E+000
+1.11610000000E+009, -3.29019436265E-001, +0.00000000000E+000
+1.11700000000E+009, -3.34046407141E-001, +0.00000000000E+000
+1.11790000000E+009, -3.34143525322E-001, +0.00000000000E+000
+1.11880000000E+009, -3.31661733655E-001, +0.00000000000E+000
+1.11970000000E+009, -3.32363666688E-001, +0.00000000000E+000
+1.12060000000E+009, -3.36045163460E-001, +0.00000000000E+000
+1.12150000000E+009, -3.34678336266E-001, +0.00000000000E+000
+1.12240000000E+009, -3.39909237417E-001, +0.00000000000E+000
+1.12330000000E+009, -3.41193612735E-001, +0.00000000000E+000
+1.12420000000E+009, -3.40100044099E-001, +0.00000000000E+000
+1.12510000000E+009, -3.40891558805E-001, +0.00000000000E+000
+1.12600000000E+009, -3.42999235725E-001, +0.00000000000E+000
+1.12690000000E+009, -3.47989414364E-001, +0.00000000000E+000
+1.12780000000E+009, -3.47190376810E-001, +0.00000000000E+000
+1.12870000000E+009, -3.47182370414E-001, +0.00000000000E+000
+1.12960000000E+009, -3.50077436092E-001, +0.00000000000E+000
+1.13050000000E+009, -3.52068401968E-001, +0.00000000000E+000
+1.13140000000E+009, -3.52330294817E-001, +0.00000000000E+000
+1.13230000000E+009, -3.50329783329E-001, +0.00000000000E+000
+1.13320000000E+009, -3.56300471518E-001, +0.00000000000E+000
+1.13410000000E+009, -3.62844693040E-001, +0.00000000000E+000
+1.13500000000E+009, -3.60441776296E-001, +0.00000000000E+000
+1.13590000000E+009, -3.59775728294E-001, +0.00000000000E+000
+1.13680000000E+009, -3.64156726075E-001, +0.00000000000E+000
+1.13770000000E+009, -3.66014115009E-001, +0.00000000000E+000
+1.13860000000E+009, -3.66048865780E-001, +0.00000000000E+000
+1.13950000000E+009, -3.72624838794E-001, +0.00000000000E+000
+1.14040000000E+009, -3.68225830351E-001, +0.00000000000E+000
+1.14130000000E+009, -3.73567767922E-001, +0.00000000000E+000
+1.14220000000E+009, -3.77391774374E-001, +0.00000000000E+000
+1.14310000000E+009, -3.78388632500E-001, +0.00000000000E+000
+1.14400000000E+009, -3.77970907520E-001, +0.00000000000E+000
+1.14490000000E+009, -3.78379302346E-001, +0.00000000000E+000
+1.14580000000E+009, -3.82137383564E-001, +0.00000000000E+000
+1.14670000000E+009, -3.82621372076E-001, +0.00000000000E+000
+1.14760000000E+009, -3.83282521508E-001, +0.00000000000E+000
+1.14850000000E+009, -3.86427545501E-001, +0.00000000000E+000
+1.14940000000E+009, -3.87565912437E-001, +0.00000000000E+000
+1.15030000000E+009, -3.87899177850E-001, +0.00000000000E+000
+1.15120000000E+009, -3.92688011716E-001, +0.00000000000E+000
+1.15210000000E+009, -4.00506377221E-001, +0.00000000000E+000
+1.15300000000E+009, -4.02070515912E-001, +0.00000000000E+000
+1.15390000000E+009, -4.05121826553E-001, +0.00000000000E+000
+1.15480000000E+009, -4.03379054731E-001, +0.00000000000E+000
+1.15570000000E+009, -4.07584116882E-001, +0.00000000000E+000
+1.15660000000E+009, -4.09711201262E-001, +0.00000000000E+000
+1.15750000000E+009, -4.12901434310E-001, +0.00000000000E+000
+1.15840000000E+009, -4.11374279461E-001, +0.00000000000E+000
+1.15930000000E+009, -4.16215731032E-001, +0.00000000000E+000
+1.16020000000E+009, -4.19869194421E-001, +0.00000000000E+000
+1.16110000000E+009, -4.21737382789E-001, +0.00000000000E+000
+1.16200000000E+009, -4.30731307104E-001, +0.00000000000E+000
+1.16290000000E+009, -4.26915544833E-001, +0.00000000000E+000
+1.16380000000E+009, -4.33026370191E-001, +0.00000000000E+000
+1.16470000000E+009, -4.40507539303E-001, +0.00000000000E+000
+1.16560000000E+009, -4.41099574806E-001, +0.00000000000E+000
+1.16650000000E+009, -4.44210053474E-001, +0.00000000000E+000
+1.16740000000E+009, -4.47037242662E-001, +0.00000000000E+000
+1.16830000000E+009, -4.48637702117E-001, +0.00000000000E+000
+1.16920000000E+009, -4.52779602142E-001, +0.00000000000E+000
+1.17010000000E+009, -4.55244262508E-001, +0.00000000000E+000
+1.17100000000E+009, -4.64696336091E-001, +0.00000000000E+000
+1.17190000000E+009, -4.67819110378E-001, +0.00000000000E+000
+1.17280000000E+009, -4.73014498043E-001, +0.00000000000E+000
+1.17370000000E+009, -4.72268149179E-001, +0.00000000000E+000
+1.17460000000E+009, -4.79875027214E-001, +0.00000000000E+000
+1.17550000000E+009, -4.79852449429E-001, +0.00000000000E+000
+1.17640000000E+009, -4.86106000818E-001, +0.00000000000E+000
+1.17730000000E+009, -4.92070290350E-001, +0.00000000000E+000
+1.17820000000E+009, -4.91870854955E-001, +0.00000000000E+000
+1.17910000000E+009, -5.01654527704E-001, +0.00000000000E+000
+1.18000000000E+009, -4.99944645457E-001, +0.00000000000E+000
+1.18090000000E+009, -5.14554380826E-001, +0.00000000000E+000
+1.18180000000E+009, -5.13397224188E-001, +0.00000000000E+000
+1.18270000000E+009, -5.17050484426E-001, +0.00000000000E+000
+1.18360000000E+009, -5.23275300851E-001, +0.00000000000E+000
+1.18450000000E+009, -5.30991280603E-001, +0.00000000000E+000
+1.18540000000E+009, -5.41350512337E-001, +0.00000000000E+000
+1.18630000000E+009, -5.45107228431E-001, +0.00000000000E+000
+1.18720000000E+009, -5.44096270996E-001, +0.00000000000E+000
+1.18810000000E+009, -5.49301519987E-001, +0.00000000000E+000
+1.18900000000E+009, -5.59322187518E-001, +0.00000000000E+000
+1.18990000000E+009, -5.62129215940E-001, +0.00000000000E+000
+1.19080000000E+009, -5.71373222027E-001, +0.00000000000E+000
+1.19170000000E+009, -5.78804439478E-001, +0.00000000000E+000
+1.19260000000E+009, -5.80593387904E-001, +0.00000000000E+000
+1.19350000000E+009, -5.81780702289E-001, +0.00000000000E+000
+1.19440000000E+009, -5.96142315652E-001, +0.00000000000E+000
+1.19530000000E+009, -6.01105801174E-001, +0.00000000000E+000
+1.19620000000E+009, -6.09430649550E-001, +0.00000000000E+000
+1.19710000000E+009, -6.17892340185E-001, +0.00000000000E+000
+1.19800000000E+009, -6.23954364036E-001, +0.00000000000E+000
+1.19890000000E+009, -6.34389879170E-001, +0.00000000000E+000
+1.19980000000E+009, -6.31537955707E-001, +0.00000000000E+000
+1.20070000000E+009, -6.53760725551E-001, +0.00000000000E+000
+1.20160000000E+009, -6.55497670631E-001, +0.00000000000E+000
+1.20250000000E+009, -6.63305583648E-001, +0.00000000000E+000
+1.20340000000E+009, -6.73869109271E-001, +0.00000000000E+000
+1.20430000000E+009, -6.81358906791E-001, +0.00000000000E+000
+1.20520000000E+009, -6.83580138388E-001, +0.00000000000E+000
+1.20610000000E+009, -6.97267170976E-001, +0.00000000000E+000
+1.20700000000E+009, -7.11418588961E-001, +0.00000000000E+000
+1.20790000000E+009, -7.15974000433E-001, +0.00000000000E+000
+1.20880000000E+009, -7.25662454660E-001, +0.00000000000E+000
+1.20970000000E+009, -7.30708999796E-001, +0.00000000000E+000
+1.21060000000E+009, -7.46357810725E-001, +0.00000000000E+000
+1.21150000000E+009, -7.52774943130E-001, +0.00000000000E+000
+1.21240000000E+009, -7.65449176052E-001, +0.00000000000E+000
+1.21330000000E+009, -7.69659733944E-001, +0.00000000000E+000
+1.21420000000E+009, -7.80216029820E-001, +0.00000000000E+000
+1.21510000000E+009, -7.93893724413E-001, +0.00000000000E+000
+1.21600000000E+009, -8.07059288383E-001, +0.00000000000E+000
+1.21690000000E+009, -8.13760289084E-001, +0.00000000000E+000
+1.21780000000E+009, -8.25916427087E-001, +0.00000000000E+000
+1.21870000000E+009, -8.43581281008E-001, +0.00000000000E+000
+1.21960000000E+009, -8.54116314477E-001, +0.00000000000E+000
+1.22050000000E+009, -8.64660476219E-001, +0.00000000000E+000
+1.22140000000E+009, -8.75990737841E-001, +0.00000000000E+000
+1.22230000000E+009, -8.91471753703E-001, +0.00000000000E+000
+1.22320000000E+009, -9.02174557841E-001, +0.00000000000E+000
+1.22410000000E+009, -9.12133477643E-001, +0.00000000000E+000
+1.22500000000E+009, -9.31445869942E-001, +0.00000000000E+000
+1.22590000000E+009, -9.41582060823E-001, +0.00000000000E+000
+1.22680000000E+009, -9.50832486877E-001, +0.00000000000E+000
+1.22770000000E+009, -9.68589381227E-001, +0.00000000000E+000
+1.22860000000E+009, -9.85302646189E-001, +0.00000000000E+000
+1.22950000000E+009, -1.00197489970E+000, +0.00000000000E+000
+1.23040000000E+009, -1.00898892001E+000, +0.00000000000E+000
+1.23130000000E+009, -1.02604879966E+000, +0.00000000000E+000
+1.23220000000E+009, -1.04639959700E+000, +0.00000000000E+000
+1.23310000000E+009, -1.06431940587E+000, +0.00000000000E+000
+1.23400000000E+009, -1.07739192102E+000, +0.00000000000E+000
+1.23490000000E+009, -1.09438130974E+000, +0.00000000000E+000
+1.23580000000E+009, -1.11465919451E+000, +0.00000000000E+000
+1.23670000000E+009, -1.12791039519E+000, +0.00000000000E+000
+1.23760000000E+009, -1.14843732859E+000, +0.00000000000E+000
+1.23850000000E+009, -1.17215608398E+000, +0.00000000000E+000
+1.23940000000E+009, -1.18860484521E+000, +0.00000000000E+000
+1.24030000000E+009, -1.19955981124E+000, +0.00000000000E+000
+1.24120000000E+009, -1.22795330799E+000, +0.00000000000E+000
+1.24210000000E+009, -1.24717453225E+000, +0.00000000000E+000
+1.24300000000E+009, -1.26513533584E+000, +0.00000000000E+000
+1.24390000000E+009, -1.28620298402E+000, +0.00000000000E+000
+1.24480000000E+009, -1.31029294838E+000, +0.00000000000E+000
+1.24570000000E+009, -1.33716803948E+000, +0.00000000000E+000
+1.24660000000E+009, -1.35421254164E+000, +0.00000000000E+000
+1.24750000000E+009, -1.37920149541E+000, +0.00000000000E+000
+1.24840000000E+009, -1.40593446819E+000, +0.00000000000E+000
+1.24930000000E+009, -1.42460741224E+000, +0.00000000000E+000
+1.25020000000E+009, -1.45382297720E+000, +0.00000000000E+000
+1.25110000000E+009, -1.48261154127E+000, +0.00000000000E+000
+1.25200000000E+009, -1.49810523075E+000, +0.00000000000E+000
+1.25290000000E+009, -1.53107223615E+000, +0.00000000000E+000
+1.25380000000E+009, -1.56183278659E+000, +0.00000000000E+000
+1.25470000000E+009, -1.58090006158E+000, +0.00000000000E+000
+1.25560000000E+009, -1.61378205200E+000, +0.00000000000E+000
+1.25650000000E+009, -1.64395034387E+000, +0.00000000000E+000
+1.25740000000E+009, -1.67330878544E+000, +0.00000000000E+000
+1.25830000000E+009, -1.70080168434E+000, +0.00000000000E+000
+1.25920000000E+009, -1.73194676214E+000, +0.00000000000E+000
+1.26010000000E+009, -1.76706031836E+000, +0.00000000000E+000
+1.26100000000E+009, -1.79730417386E+000, +0.00000000000E+000
+1.26190000000E+009, -1.83487244974E+000, +0.00000000000E+000
+1.26280000000E+009, -1.87203370436E+000, +0.00000000000E+000
+1.26370000000E+009, -1.89776914368E+000, +0.00000000000E+000
+1.26460000000E+009, -1.93645567546E+000, +0.00000000000E+000
+1.26550000000E+009, -1.97235149454E+000, +0.00000000000E+000
+1.26640000000E+009, -2.00976545352E+000, +0.00000000000E+000
+1.26730000000E+009, -2.05538053134E+000, +0.00000000000E+000
+1.26820000000E+009, -2.08987819271E+000, +0.00000000000E+000
+1.26910000000E+009, -2.12847399384E+000, +0.00000000000E+000
+1.27000000000E+009, -2.16907171860E+000, +0.00000000000E+000
+1.27090000000E+009, -2.21009875614E+000, +0.00000000000E+000
+1.27180000000E+009, -2.25449095075E+000, +0.00000000000E+000
+1.27270000000E+009, -2.30117508598E+000, +0.00000000000E+000
+1.27360000000E+009, -2.34340856284E+000, +0.00000000000E+000
+1.27450000000E+009, -2.38823577109E+000, +0.00000000000E+000
+1.27540000000E+009, -2.43437456900E+000, +0.00000000000E+000
+1.27630000000E+009, -2.49051529552E+000, +0.00000000000E+000
+1.27720000000E+009, -2.53012337385E+000, +0.00000000000E+000
+1.27810000000E+009, -2.58449210447E+000, +0.00000000000E+000
+1.27900000000E+009, -2.63813223686E+000, +0.00000000000E+000
+1.27990000000E+009, -2.68762290868E+000, +0.00000000000E+000
+1.28080000000E+009, -2.74312978681E+000, +0.00000000000E+000
+1.28170000000E+009, -2.79198220389E+000, +0.00000000000E+000
+1.28260000000E+009, -2.85423437577E+000, +0.00000000000E+000
+1.28350000000E+009, -2.91067936493E+000, +0.00000000000E+000
+1.28440000000E+009, -2.96907925966E+000, +0.00000000000E+000
+1.28530000000E+009, -3.02394911121E+000, +0.00000000000E+000
+1.28620000000E+009, -3.09424834009E+000, +0.00000000000E+000
+1.28710000000E+009, -3.15752516666E+000, +0.00000000000E+000
+1.28800000000E+009, -3.22547624443E+000, +0.00000000000E+000
+1.28890000000E+009, -3.28798761911E+000, +0.00000000000E+000
+1.28980000000E+009, -3.35683132702E+000, +0.00000000000E+000
+1.29070000000E+009, -3.42792224323E+000, +0.00000000000E+000
+1.29160000000E+009, -3.49362145319E+000, +0.00000000000E+000
+1.29250000000E+009, -3.56862391738E+000, +0.00000000000E+000
+1.29340000000E+009, -3.65080780509E+000, +0.00000000000E+000
+1.29430000000E+009, -3.72013912840E+000, +0.00000000000E+000
+1.29520000000E+009, -3.80416721422E+000, +0.00000000000E+000
+1.29610000000E+009, -3.87827064823E+000, +0.00000000000E+000
+1.29700000000E+009, -3.96986469739E+000, +0.00000000000E+000
+1.29790000000E+009, -4.05231870936E+000, +0.00000000000E+000
+1.29880000000E+009, -4.14281040375E+000, +0.00000000000E+000
+1.29970000000E+009, -4.23026495309E+000, +0.00000000000E+000
+1.30060000000E+009, -4.31653023733E+000, +0.00000000000E+000
+1.30150000000E+009, -4.40576813117E+000, +0.00000000000E+000
