"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.93695000301E-001, +0.00000000000E+000
+1.00090000000E+009, -2.60056201531E-001, +0.00000000000E+000
+1.00180000000E+009, -2.59314277978E-001, +0.00000000000E+000
+1.00270000000E+009, -2.51692758204E-001, +0.00000000000E+000
+1.00360000000E+009, -2.54440988479E-001, +0.00000000000E+000
+1.00450000000E+009, -2.54791021720E-001, +0.00000000000E+000
+1.00540000000E+009, -2.51998241313E-001, +0.00000000000E+000
+1.00630000000E+009, -2.51274503947E-001, +0.00000000000E+000
+1.00720000000E+009, -2.44997937962E-001, +0.00000000000E+000
+1.00810000000E+009, -2.53309595092E-001, +0.00000000000E+000
+1.00900000000E+009, -2.53668715027E-001, +0.00000000000E+000
+1.00990000000E+009, -2.53239942690E-001, +0.00000000000E+000
+1.01080000000E+009, -2.51205646301E-001, +0.00000000000E+000
+1.01170000000E+009, -2.52734564949E-001, +0.00000000000E+000
+1.01260000000E+009, -2.54079411937E-001, +0.00000000000E+000
+1.01350000000E+009, -2.54692267491E-001, +0.00000000000E+000
+1.01440000000E+009, -2.59644488594E-001, +0.00000000000E+000
+1.01530000000E+009, -2.60613862409E-001, +0.00000000000E+000
+1.01620000000E+009, -2.57536303367E-001, +0.00000000000E+000
+1.01710000000E+009, -2.58849559037E-001, +0.00000000000E+000
+1.01800000000E+009, -2.59122436032E-001, +0.00000000000E+000
+1.01890000000E+009, -2.63876004832E-001, +0.00000000000E+000
+1.01980000000E+009, -2.67301185798E-001, +0.00000000000E+000
+1.02070000000E+009, -2.65865341037E-001, +0.00000000000E+000
+1.02160000000E+009, -2.69551072919E-001, +0.00000000000E+000
+1.02250000000E+009, -2.67358760547E-001, +0.00000000000E+000
+1.02340000000E+009, -2.68107480804E-001, +0.00000000000E+000
+1.02430000000E+009, -2.74742091342E-001, +0.00000000000E+000
+1.02520000000E+009, -2.72602616475E-001, +0.00000000000E+000
+1.02610000000E+009, -2.79422983514E-001, +0.00000000000E+000
+1.02700000000E+009, -2.78130795387E-001, +0.00000000000E+000
+1.02790000000E+009, -2.82002780751E-001, +0.00000000000E+000
+1.02880000000E+009, -2.85156462178E-001, +0.00000000000E+000
+1.02970000000E+009, -2.79331740663E-001, +0.00000000000E+000
+1.03060000000E+009, -2.84127725624E-001, +0.00000000000E+000
+1.03150000000E+009, -2.86474724112E-001, +0.00000000000E+000
+1.03240000000E+009, -2.83465150103E-001, +0.00000000000E+000
+1.03330000000E+009, -2.83412442341E-001, +0.00000000000E+000
+1.03420000000E+009, -2.87693948679E-001, +0.00000000000E+000
+1.03510000000E+009, -2.89678862551E-001, +0.00000000000E+000
+1.03600000000E+009, -2.88055899230E-001, +0.00000000000E+000
+1.03690000000E+009, -2.93605113297E-001, +0.00000000000E+000
+1.03780000000E+009, -2.93860465189E-001, +0.00000000000E+000
+1.03870000000E+009, -2.96209976926E-001, +0.00000000000E+000
+1.03960000000E+009, -2.97186353326E-001, +0.00000000000E+000
+1.04050000000E+009, -2.95997699494E-001, +0.00000000000E+000
