"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.74785931476E-001, +0.00000000000E+000
+1.00090000000E+009, -2.39998233677E-001, +0.00000000000E+000
+1.00180000000E+009, -2.35721660130E-001, +0.00000000000E+000
+1.00270000000E+009, -2.32003485636E-001, +0.00000000000E+000
+1.00360000000E+009, -2.34909924993E-001, +0.00000000000E+000
+1.00450000000E+009, -2.32644040453E-001, +0.00000000000E+000
+1.00540000000E+009, -2.30487407445E-001, +0.00000000000E+000
+1.00630000000E+009, -2.30437930614E-001, +0.00000000000E+000
+1.00720000000E+009, -2.27517669745E-001, +0.00000000000E+000
+1.00810000000E+009, -2.31836881894E-001, +0.00000000000E+000
+1.00900000000E+009, -2.32081331825E-001, +0.00000000000E+000
+1.00990000000E+009, -2.30945678348E-001, +0.00000000000E+000
+1.01080000000E+009, -2.29643968913E-001, +0.00000000000E+000
+1.01170000000E+009, -2.32815319060E-001, +0.00000000000E+000
+1.01260000000E+009, -2.31769425364E-001, +0.00000000000E+000
+1.01350000000E+009, -2.34686177906E-001, +0.00000000000E+000
+1.01440000000E+009, -2.37325513831E-001, +0.00000000000E+000
+1.01530000000E+009, -2.39073756803E-001, +0.00000000000E+000
+1.01620000000E+009, -2.34793100609E-001, +0.00000000000E+000
+1.01710000000E+009, -2.37545730265E-001, +0.00000000000E+000
+1.01800000000E+009, -2.37093603721E-001, +0.00000000000E+000
+1.01890000000E+009, -2.37122176412E-001, +0.00000000000E+000
+1.01980000000E+009, -2.43319509441E-001, +0.00000000000E+000
+1.02070000000E+009, -2.43152212309E-001, +0.00000000000E+000
+1.02160000000E+009, -2.45109207994E-001, +0.00000000000E+000
+1.02250000000E+009, -2.42250737192E-001, +0.00000000000E+000
+1.02340000000E+009, -2.42203844670E-001, +0.00000000000E+000
+1.02430000000E+009, -2.51005910601E-001, +0.00000000000E+000
+1.02520000000E+009, -2.47617699570E-001, +0.00000000000E+000
+1.02610000000E+009, -2.50691426240E-001, +0.00000000000E+000
+1.02700000000E+009, -2.48199168753E-001, +0.00000000000E+000
+1.02790000000E+009, -2.53120275450E-001, +0.00000000000E+000
+1.02880000000E+009, -2.56256651990E-001, +0.00000000000E+000
+1.02970000000E+009, -2.52936426227E-001, +0.00000000000E+000
+1.03060000000E+009, -2.53403686072E-001, +0.00000000000E+000
+1.03150000000E+009, -2.58510131862E-001, +0.00000000000E+000
+1.03240000000E+009, -2.52275761614E-001, +0.00000000000E+000
+1.03330000000E+009, -2.55695470926E-001, +0.00000000000E+000
+1.03420000000E+009, -2.57707752966E-001, +0.00000000000E+000
+1.03510000000E+009, -2.60049381550E-001, +0.00000000000E+000
+1.03600000000E+009, -2.58918217357E-001, +0.00000000000E+000
+1.03690000000E+009, -2.62856849914E-001, +0.00000000000E+000
+1.03780000000E+009, -2.63760805878E-001, +0.00000000000E+000
+1.03870000000E+009, -2.63687973113E-001, +0.00000000000E+000
+1.03960000000E+009, -2.65314517297E-001, +0.00000000000E+000
+1.04050000000E+009, -2.62975759640E-001, +0.00000000000E+000
+1.04140000000E+009, -2.66723637730E-001, +0.00000000000E+000
