"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.75324531886E-001, +0.00000000000E+000
+1.00090000000E+009, -2.44137593602E-001, +0.00000000000E+000
+1.00180000000E+009, -2.37185232947E-001, +0.00000000000E+000
+1.00270000000E+009, -2.35655146172E-001, +0.00000000000E+000
+1.00360000000E+009, -2.37706202110E-001, +0.00000000000E+000
+1.00450000000E+009, -2.36426051197E-001, +0.00000000000E+000
+1.00540000000E+009, -2.30702762997E-001, +0.00000000000E+000
+1.00630000000E+009, -2.29737806872E-001, +0.00000000000E+000
+1.00720000000E+009, -2.25509337406E-001, +0.00000000000E+000
+1.00810000000E+009, -2.32615408831E-001, +0.00000000000E+000
+1.00900000000E+009, -2.35014570681E-001, +0.00000000000E+000
+1.00990000000E+009, -2.31522618694E-001, +0.00000000000E+000
+1.01080000000E+009, -2.35632882225E-001, +0.00000000000E+000
+1.01170000000E+009, -2.35230185426E-001, +0.00000000000E+000
+1.01260000000E+009, -2.35663001417E-001, +0.00000000000E+000
+1.01350000000E+009, -2.36008381842E-001, +0.00000000000E+000
+1.01440000000E+009, -2.39764080653E-001, +0.00000000000E+000
+1.01530000000E+009, -2.42046096339E-001, +0.00000000000E+000
+1.01620000000E+009, -2.38234631164E-001, +0.00000000000E+000
+1.01710000000E+009, -2.40909490001E-001, +0.00000000000E+000
+1.01800000000E+009, -2.40923330515E-001, +0.00000000000E+000
+1.01890000000E+009, -2.43818235073E-001, +0.00000000000E+000
+1.01980000000E+009, -2.48235569124E-001, +0.00000000000E+000
+1.02070000000E+009, -2.47098681089E-001, +0.00000000000E+000
+1.02160000000E+009, -2.47249068275E-001, +0.00000000000E+000
+1.02250000000E+009, -2.47895244760E-001, +0.00000000000E+000
+1.02340000000E+009, -2.44180586477E-001, +0.00000000000E+000
+1.02430000000E+009, -2.52864758619E-001, +0.00000000000E+000
+1.02520000000E+009, -2.51627892235E-001, +0.00000000000E+000
+1.02610000000E+009, -2.55511250362E-001, +0.00000000000E+000
+1.02700000000E+009, -2.55616393693E-001, +0.00000000000E+000
+1.02790000000E+009, -2.59440744433E-001, +0.00000000000E+000
+1.02880000000E+009, -2.59525630006E-001, +0.00000000000E+000
+1.02970000000E+009, -2.56260712524E-001, +0.00000000000E+000
+1.03060000000E+009, -2.60224440767E-001, +0.00000000000E+000
+1.03150000000E+009, -2.62228899226E-001, +0.00000000000E+000
+1.03240000000E+009, -2.57967566467E-001, +0.00000000000E+000
+1.03330000000E+009, -2.59588156121E-001, +0.00000000000E+000
+1.03420000000E+009, -2.59511261850E-001, +0.00000000000E+000
+1.03510000000E+009, -2.64878500002E-001, +0.00000000000E+000
+1.03600000000E+009, -2.65992262294E-001, +0.00000000000E+000
+1.03690000000E+009, -2.64065178716E-001, +0.00000000000E+000
+1.03780000000E+009, -2.67878596476E-001, +0.00000000000E+000
+1.03870000000E+009, -2.66720627537E-001, +0.00000000000E+000
+1.03960000000E+009, -2.70648067218E-001, +0.00000000000E+000
+1.04050000000E+009, -2.70565402065E-001, +0.00000000000E+000
+1.04140000000E+009, -2.69232382705E-001, +0.00000000000E+000
+1.04230000000E+009, -2.71569098966E-001, +0.00000000000E+000
+1.04320000000E+009, -2.71485669339E-001, +0.00000000000E+000
+1.04410000000E+009, -2.75312396645E-001, +0.00000000000E+000
+1.04500000000E+009, -2.73409899384E-001, +0.00000000000E+000
+1.04590000000E+009, -2.73334127129E-001, +0.00000000000E+000
+1.04680000000E+009, -2.74924033055E-001, +0.00000000000E+000
+1.04770000000E+009, -2.78392702636E-001, +0.00000000000E+000
+1.04860000000E+009, -2.75219322091E-001, +0.00000000000E+000
+1.04950000000E+009, -2.76423455779E-001, +0.00000000000E+000
+1.05040000000E+009, -2.73372085729E-001, +0.00000000000E+000
