"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.91692748173E-001, +0.00000000000E+000
+1.00090000000E+009, -2.60499592292E-001, +0.00000000000E+000
+1.00180000000E+009, -2.55402910636E-001, +0.00000000000E+000
+1.00270000000E+009, -2.51176898550E-001, +0.00000000000E+000
+1.00360000000E+009, -2.52841156089E-001, +0.00000000000E+000
+1.00450000000E+009, -2.52083255705E-001, +0.00000000000E+000
+1.00540000000E+009, -2.49434319451E-001, +0.00000000000E+000
+1.00630000000E+009, -2.47262105865E-001, +0.00000000000E+000
+1.00720000000E+009, -2.42952608599E-001, +0.00000000000E+000
+1.00810000000E+009, -2.49054454978E-001, +0.00000000000E+000
+1.00900000000E+009, -2.50797581266E-001, +0.00000000000E+000
+1.00990000000E+009, -2.49021529281E-001, +0.00000000000E+000
+1.01080000000E+009, -2.49513538873E-001, +0.00000000000E+000
+1.01170000000E+009, -2.51337733117E-001, +0.00000000000E+000
+1.01260000000E+009, -2.50033760620E-001, +0.00000000000E+000
+1.01350000000E+009, -2.51959873285E-001, +0.00000000000E+000
+1.01440000000E+009, -2.58767525269E-001, +0.00000000000E+000
+1.01530000000E+009, -2.58871876589E-001, +0.00000000000E+000
+1.01620000000E+009, -2.57626771480E-001, +0.00000000000E+000
+1.01710000000E+009, -2.56119449993E-001, +0.00000000000E+000
+1.01800000000E+009, -2.58234699327E-001, +0.00000000000E+000
+1.01890000000E+009, -2.59012882694E-001, +0.00000000000E+000
+1.01980000000E+009, -2.63920166042E-001, +0.00000000000E+000
+1.02070000000E+009, -2.64010073956E-001, +0.00000000000E+000
+1.02160000000E+009, -2.64494137583E-001, +0.00000000000E+000
+1.02250000000E+009, -2.63525904997E-001, +0.00000000000E+000
+1.02340000000E+009, -2.66562240204E-001, +0.00000000000E+000
+1.02430000000E+009, -2.74874473206E-001, +0.00000000000E+000
+1.02520000000E+009, -2.70431718703E-001, +0.00000000000E+000
+1.02610000000E+009, -2.75941883621E-001, +0.00000000000E+000
+1.02700000000E+009, -2.72879391115E-001, +0.00000000000E+000
+1.02790000000E+009, -2.79114271584E-001, +0.00000000000E+000
+1.02880000000E+009, -2.81056023005E-001, +0.00000000000E+000
+1.02970000000E+009, -2.74148807007E-001, +0.00000000000E+000
+1.03060000000E+009, -2.80491486583E-001, +0.00000000000E+000
+1.03150000000E+009, -2.81001568807E-001, +0.00000000000E+000
+1.03240000000E+009, -2.78762273450E-001, +0.00000000000E+000
+1.03330000000E+009, -2.78576328476E-001, +0.00000000000E+000
+1.03420000000E+009, -2.81894868630E-001, +0.00000000000E+000
+1.03510000000E+009, -2.84605686189E-001, +0.00000000000E+000
+1.03600000000E+009, -2.86228047271E-001, +0.00000000000E+000
+1.03690000000E+009, -2.90922241825E-001, +0.00000000000E+000
+1.03780000000E+009, -2.89139221955E-001, +0.00000000000E+000
+1.03870000000E+009, -2.89324615190E-001, +0.00000000000E+000
+1.03960000000E+009, -2.92229582097E-001, +0.00000000000E+000
+1.04050000000E+009, -2.93408517105E-001, +0.00000000000E+000
+1.04140000000E+009, -2.92317019088E-001, +0.00000000000E+000
+1.04230000000E+009, -2.94731376821E-001, +0.00000000000E+000
+1.04320000000E+009, -2.92964557268E-001, +0.00000000000E+000
+1.04410000000E+009, -2.97591004926E-001, +0.00000000000E+000
+1.04500000000E+009, -2.95988235841E-001, +0.00000000000E+000
+1.04590000000E+009, -2.94143566698E-001, +0.00000000000E+000
+1.04680000000E+009, -2.97464325963E-001, +0.00000000000E+000
+1.04770000000E+009, -3.01050101581E-001, +0.00000000000E+000
+1.04860000000E+009, -2.96952943407E-001, +0.00000000000E+000
+1.04950000000E+009, -3.01786753156E-001, +0.00000000000E+000
+1.05040000000E+009, -2.98149292768E-001, +0.00000000000E+000
+1.05130000000E+009, -3.00896312627E-001, +0.00000000000E+000
+1.05220000000E+009, -3.00111609741E-001, +0.00000000000E+000
+1.05310000000E+009, -3.02281173959E-001, +0.00000000000E+000
