"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.26358198186E-001, +0.00000000000E+000
+1.00090000000E+009, -1.23709626513E-001, +0.00000000000E+000
+1.00180000000E+009, -1.23229673969E-001, +0.00000000000E+000
+1.00270000000E+009, -1.21462144995E-001, +0.00000000000E+000
+1.00360000000E+009, -1.20925790885E-001, +0.00000000000E+000
+1.00450000000E+009, -1.20851340912E-001, +0.00000000000E+000
+1.00540000000E+009, -1.20329337213E-001, +0.00000000000E+000
+1.00630000000E+009, -1.19637119361E-001, +0.00000000000E+000
+1.00720000000E+009, -1.18987094110E-001, +0.00000000000E+000
+1.00810000000E+009, -1.19629380634E-001, +0.00000000000E+000
+1.00900000000E+009, -1.18641406672E-001, +0.00000000000E+000
+1.00990000000E+009, -1.18025059353E-001, +0.00000000000E+000
+1.01080000000E+009, -1.16687413047E-001, +0.00000000000E+000
+1.01170000000E+009, -1.16339226813E-001, +0.00000000000E+000
+1.01260000000E+009, -1.16262896863E-001, +0.00000000000E+000
+1.01350000000E+009, -1.17547954137E-001, +0.00000000000E+000
+1.01440000000E+009, -1.15680376894E-001, +0.00000000000E+000
+1.01530000000E+009, -1.16209532226E-001, +0.00000000000E+000
+1.01620000000E+009, -1.16802018499E-001, +0.00000000000E+000
+1.01710000000E+009, -1.15108768974E-001, +0.00000000000E+000
+1.01800000000E+009, -1.15278061110E-001, +0.00000000000E+000
+1.01890000000E+009, -1.14035531921E-001, +0.00000000000E+000
+1.01980000000E+009, -1.13608610103E-001, +0.00000000000E+000
+1.02070000000E+009, -1.13819666460E-001, +0.00000000000E+000
+1.02160000000E+009, -1.14862411612E-001, +0.00000000000E+000
+1.02250000000E+009, -1.14227892885E-001, +0.00000000000E+000
+1.02340000000E+009, -1.12790227568E-001, +0.00000000000E+000
+1.02430000000E+009, -1.13185119568E-001, +0.00000000000E+000
+1.02520000000E+009, -1.12836836136E-001, +0.00000000000E+000
+1.02610000000E+009, -1.12057718022E-001, +0.00000000000E+000
+1.02700000000E+009, -1.11709930182E-001, +0.00000000000E+000
+1.02790000000E+009, -1.11828051170E-001, +0.00000000000E+000
+1.02880000000E+009, -1.11141203234E-001, +0.00000000000E+000
+1.02970000000E+009, -1.10081257100E-001, +0.00000000000E+000
+1.03060000000E+009, -1.10728913646E-001, +0.00000000000E+000
+1.03150000000E+009, -1.09458810881E-001, +0.00000000000E+000
+1.03240000000E+009, -1.10287456708E-001, +0.00000000000E+000
+1.03330000000E+009, -1.09869533144E-001, +0.00000000000E+000
+1.03420000000E+009, -1.10680963926E-001, +0.00000000000E+000
+1.03510000000E+009, -1.09777549563E-001, +0.00000000000E+000
+1.03600000000E+009, -1.09031820854E-001, +0.00000000000E+000
+1.03690000000E+009, -1.08639685014E-001, +0.00000000000E+000
+1.03780000000E+009, -1.08159072132E-001, +0.00000000000E+000
+1.03870000000E+009, -1.08562746489E-001, +0.00000000000E+000
+1.03960000000E+009, -1.07814512423E-001, +0.00000000000E+000
+1.04050000000E+009, -1.07566953772E-001, +0.00000000000E+000
+1.04140000000E+009, -1.06940526494E-001, +0.00000000000E+000
+1.04230000000E+009, -1.09061519949E-001, +0.00000000000E+000
+1.04320000000E+009, -1.08078926938E-001, +0.00000000000E+000
+1.04410000000E+009, -1.07151421604E-001, +0.00000000000E+000
+1.04500000000E+009, -1.08397597300E-001, +0.00000000000E+000
+1.04590000000E+009, -1.07291141352E-001, +0.00000000000E+000
+1.04680000000E+009, -1.07417305325E-001, +0.00000000000E+000
+1.04770000000E+009, -1.06746110477E-001, +0.00000000000E+000
+1.04860000000E+009, -1.06042499137E-001, +0.00000000000E+000
+1.04950000000E+009, -1.06118327955E-001, +0.00000000000E+000
+1.05040000000E+009, -1.06086237501E-001, +0.00000000000E+000
+1.05130000000E+009, -1.06872272751E-001, +0.00000000000E+000
+1.05220000000E+009, -1.06769248473E-001, +0.00000000000E+000
+1.05310000000E+009, -1.06089448952E-001, +0.00000000000E+000
+1.05400000000E+009, -1.06978066002E-001, +0.00000000000E+000
+1.05490000000E+009, -1.04535790310E-001, +0.00000000000E+000
+1.05580000000E+009, -1.06079882629E-001, +0.00000000000E+000
+1.05670000000E+009, -1.05329033294E-001, +0.00000000000E+000
+1.05760000000E+009, -1.05656002834E-001, +0.00000000000E+000
+1.05850000000E+009, -1.05849379229E-001, +0.00000000000E+000
+1.05940000000E+009, -1.06921793347E-001, +0.00000000000E+000
+1.06030000000E+009, -1.06135878253E-001, +0.00000000000E+000
