"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.89161707006E-001, +0.00000000000E+000
+1.00090000000E+009, -1.86628192522E-001, +0.00000000000E+000
+1.00180000000E+009, -1.86532263490E-001, +0.00000000000E+000
+1.00270000000E+009, -1.85386576145E-001, +0.00000000000E+000
+1.00360000000E+009, -1.84419666799E-001, +0.00000000000E+000
+1.00450000000E+009, -1.84999855433E-001, +0.00000000000E+000
+1.00540000000E+009, -1.85031659996E-001, +0.00000000000E+000
+1.00630000000E+009, -1.84002054544E-001, +0.00000000000E+000
+1.00720000000E+009, -1.84114410690E-001, +0.00000000000E+000
+1.00810000000E+009, -1.85606700961E-001, +0.00000000000E+000
+1.00900000000E+009, -1.85449526458E-001, +0.00000000000E+000
+1.00990000000E+009, -1.85933578058E-001, +0.00000000000E+000
+1.01080000000E+009, -1.84333447874E-001, +0.00000000000E+000
+1.01170000000E+009, -1.84899251456E-001, +0.00000000000E+000
+1.01260000000E+009, -1.85684415422E-001, +0.00000000000E+000
+1.01350000000E+009, -1.86256093461E-001, +0.00000000000E+000
+1.01440000000E+009, -1.86216256257E-001, +0.00000000000E+000
+1.01530000000E+009, -1.86034464690E-001, +0.00000000000E+000
+1.01620000000E+009, -1.87321927681E-001, +0.00000000000E+000
+1.01710000000E+009, -1.87007344769E-001, +0.00000000000E+000
+1.01800000000E+009, -1.87548655417E-001, +0.00000000000E+000
+1.01890000000E+009, -1.87120027375E-001, +0.00000000000E+000
+1.01980000000E+009, -1.86660730650E-001, +0.00000000000E+000
+1.02070000000E+009, -1.87882676833E-001, +0.00000000000E+000
+1.02160000000E+009, -1.89549149462E-001, +0.00000000000E+000
+1.02250000000E+009, -1.89666664031E-001, +0.00000000000E+000
+1.02340000000E+009, -1.89273559672E-001, +0.00000000000E+000
+1.02430000000E+009, -1.90040459404E-001, +0.00000000000E+000
+1.02520000000E+009, -1.90640948141E-001, +0.00000000000E+000
+1.02610000000E+009, -1.89942664247E-001, +0.00000000000E+000
+1.02700000000E+009, -1.90905189308E-001, +0.00000000000E+000
+1.02790000000E+009, -1.91445596968E-001, +0.00000000000E+000
+1.02880000000E+009, -1.90691808383E-001, +0.00000000000E+000
+1.02970000000E+009, -1.91280221111E-001, +0.00000000000E+000
+1.03060000000E+009, -1.91711648612E-001, +0.00000000000E+000
+1.03150000000E+009, -1.91751266368E-001, +0.00000000000E+000
+1.03240000000E+009, -1.93787741570E-001, +0.00000000000E+000
+1.03330000000E+009, -1.93260780659E-001, +0.00000000000E+000
+1.03420000000E+009, -1.94342474817E-001, +0.00000000000E+000
+1.03510000000E+009, -1.93886466564E-001, +0.00000000000E+000
+1.03600000000E+009, -1.94469199071E-001, +0.00000000000E+000
+1.03690000000E+009, -1.94759637894E-001, +0.00000000000E+000
+1.03780000000E+009, -1.95509777421E-001, +0.00000000000E+000
+1.03870000000E+009, -1.96309265027E-001, +0.00000000000E+000
+1.03960000000E+009, -1.96141802175E-001, +0.00000000000E+000
+1.04050000000E+009, -1.96715365491E-001, +0.00000000000E+000
+1.04140000000E+009, -1.96872891996E-001, +0.00000000000E+000
+1.04230000000E+009, -1.98635412227E-001, +0.00000000000E+000
+1.04320000000E+009, -1.99185433978E-001, +0.00000000000E+000
+1.04410000000E+009, -1.99638127989E-001, +0.00000000000E+000
+1.04500000000E+009, -2.00352223271E-001, +0.00000000000E+000
+1.04590000000E+009, -2.01230439690E-001, +0.00000000000E+000
+1.04680000000E+009, -2.01546832983E-001, +0.00000000000E+000
+1.04770000000E+009, -2.02362267235E-001, +0.00000000000E+000
+1.04860000000E+009, -2.01962245916E-001, +0.00000000000E+000
+1.04950000000E+009, -2.02472184763E-001, +0.00000000000E+000
+1.05040000000E+009, -2.03158542234E-001, +0.00000000000E+000
+1.05130000000E+009, -2.04077901513E-001, +0.00000000000E+000
+1.05220000000E+009, -2.06215839480E-001, +0.00000000000E+000
+1.05310000000E+009, -2.05333001773E-001, +0.00000000000E+000
+1.05400000000E+009, -2.08246425385E-001, +0.00000000000E+000
+1.05490000000E+009, -2.05535207225E-001, +0.00000000000E+000
+1.05580000000E+009, -2.08528978822E-001, +0.00000000000E+000
+1.05670000000E+009, -2.08002227330E-001, +0.00000000000E+000
+1.05760000000E+009, -2.09749102900E-001, +0.00000000000E+000
+1.05850000000E+009, -2.11015602358E-001, +0.00000000000E+000
+1.05940000000E+009, -2.13178939596E-001, +0.00000000000E+000
+1.06030000000E+009, -2.12457165544E-001, +0.00000000000E+000
+1.06120000000E+009, -2.14124979435E-001, +0.00000000000E+000
+1.06210000000E+009, -2.13956264912E-001, +0.00000000000E+000
+1.06300000000E+009, -2.16117509462E-001, +0.00000000000E+000
+1.06390000000E+009, -2.15926995396E-001, +0.00000000000E+000
+1.06480000000E+009, -2.17784062076E-001, +0.00000000000E+000
+1.06570000000E+009, -2.19194423876E-001, +0.00000000000E+000
+1.06660000000E+009, -2.21830384653E-001, +0.00000000000E+000
+1.06750000000E+009, -2.22259250377E-001, +0.00000000000E+000
+1.06840000000E+009, -2.23503353927E-001, +0.00000000000E+000
+1.06930000000E+009, -2.24835794560E-001, +0.00000000000E+000
+1.07020000000E+009, -2.26125518782E-001, +0.00000000000E+000
+1.07110000000E+009, -2.26445712435E-001, +0.00000000000E+000
+1.07200000000E+009, -2.27640301625E-001, +0.00000000000E+000
+1.07290000000E+009, -2.28729625705E-001, +0.00000000000E+000
+1.07380000000E+009, -2.29550542805E-001, +0.00000000000E+000
+1.07470000000E+009, -2.32199652014E-001, +0.00000000000E+000
+1.07560000000E+009, -2.32140972099E-001, +0.00000000000E+000
+1.07650000000E+009, -2.33218029485E-001, +0.00000000000E+000
+1.07740000000E+009, -2.35433161872E-001, +0.00000000000E+000
+1.07830000000E+009, -2.36324382316E-001, +0.00000000000E+000
+1.07920000000E+009, -2.37160544321E-001, +0.00000000000E+000
+1.08010000000E+009, -2.39400015606E-001, +0.00000000000E+000
+1.08100000000E+009, -2.39179086284E-001, +0.00000000000E+000
+1.08190000000E+009, -2.40368635645E-001, +0.00000000000E+000
+1.08280000000E+009, -2.41336072827E-001, +0.00000000000E+000
+1.08370000000E+009, -2.43554369286E-001, +0.00000000000E+000
+1.08460000000E+009, -2.43702253388E-001, +0.00000000000E+000
+1.08550000000E+009, -2.47163183136E-001, +0.00000000000E+000
+1.08640000000E+009, -2.48117757922E-001, +0.00000000000E+000
