"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.49297046445E-001, +0.00000000000E+000
+1.00090000000E+009, -1.46489904968E-001, +0.00000000000E+000
+1.00180000000E+009, -1.45713790340E-001, +0.00000000000E+000
+1.00270000000E+009, -1.44124669035E-001, +0.00000000000E+000
+1.00360000000E+009, -1.43030100200E-001, +0.00000000000E+000
+1.00450000000E+009, -1.43850537740E-001, +0.00000000000E+000
+1.00540000000E+009, -1.42817236833E-001, +0.00000000000E+000
+1.00630000000E+009, -1.41715510437E-001, +0.00000000000E+000
+1.00720000000E+009, -1.41541254774E-001, +0.00000000000E+000
+1.00810000000E+009, -1.42945416784E-001, +0.00000000000E+000
+1.00900000000E+009, -1.42208217771E-001, +0.00000000000E+000
+1.00990000000E+009, -1.42272043268E-001, +0.00000000000E+000
+1.01080000000E+009, -1.40221077079E-001, +0.00000000000E+000
+1.01170000000E+009, -1.40424798575E-001, +0.00000000000E+000
+1.01260000000E+009, -1.39692007983E-001, +0.00000000000E+000
+1.01350000000E+009, -1.41471245422E-001, +0.00000000000E+000
+1.01440000000E+009, -1.40904946175E-001, +0.00000000000E+000
+1.01530000000E+009, -1.40710900633E-001, +0.00000000000E+000
+1.01620000000E+009, -1.41755034542E-001, +0.00000000000E+000
+1.01710000000E+009, -1.41156171298E-001, +0.00000000000E+000
+1.01800000000E+009, -1.40730825715E-001, +0.00000000000E+000
+1.01890000000E+009, -1.40181270262E-001, +0.00000000000E+000
+1.01980000000E+009, -1.39689579412E-001, +0.00000000000E+000
+1.02070000000E+009, -1.40590108501E-001, +0.00000000000E+000
+1.02160000000E+009, -1.42152329512E-001, +0.00000000000E+000
+1.02250000000E+009, -1.41502107419E-001, +0.00000000000E+000
+1.02340000000E+009, -1.40895354523E-001, +0.00000000000E+000
+1.02430000000E+009, -1.40953264624E-001, +0.00000000000E+000
+1.02520000000E+009, -1.40764757759E-001, +0.00000000000E+000
+1.02610000000E+009, -1.39993970253E-001, +0.00000000000E+000
+1.02700000000E+009, -1.40366165099E-001, +0.00000000000E+000
+1.02790000000E+009, -1.40461420284E-001, +0.00000000000E+000
+1.02880000000E+009, -1.40666647541E-001, +0.00000000000E+000
+1.02970000000E+009, -1.40083300547E-001, +0.00000000000E+000
+1.03060000000E+009, -1.40617858304E-001, +0.00000000000E+000
+1.03150000000E+009, -1.39978816460E-001, +0.00000000000E+000
+1.03240000000E+009, -1.40927368127E-001, +0.00000000000E+000
+1.03330000000E+009, -1.40967626286E-001, +0.00000000000E+000
+1.03420000000E+009, -1.41012297554E-001, +0.00000000000E+000
+1.03510000000E+009, -1.41163163261E-001, +0.00000000000E+000
+1.03600000000E+009, -1.40454459009E-001, +0.00000000000E+000
+1.03690000000E+009, -1.40836049610E-001, +0.00000000000E+000
+1.03780000000E+009, -1.41000159328E-001, +0.00000000000E+000
+1.03870000000E+009, -1.41266640247E-001, +0.00000000000E+000
+1.03960000000E+009, -1.40647757667E-001, +0.00000000000E+000
+1.04050000000E+009, -1.40877896305E-001, +0.00000000000E+000
+1.04140000000E+009, -1.40698035407E-001, +0.00000000000E+000
+1.04230000000E+009, -1.42923715704E-001, +0.00000000000E+000
+1.04320000000E+009, -1.41729718325E-001, +0.00000000000E+000
+1.04410000000E+009, -1.42066002675E-001, +0.00000000000E+000
+1.04500000000E+009, -1.42651305776E-001, +0.00000000000E+000
+1.04590000000E+009, -1.42620876330E-001, +0.00000000000E+000
+1.04680000000E+009, -1.42896353552E-001, +0.00000000000E+000
+1.04770000000E+009, -1.42462105124E-001, +0.00000000000E+000
+1.04860000000E+009, -1.42448166129E-001, +0.00000000000E+000
+1.04950000000E+009, -1.42785588971E-001, +0.00000000000E+000
+1.05040000000E+009, -1.43158340381E-001, +0.00000000000E+000
+1.05130000000E+009, -1.43964475962E-001, +0.00000000000E+000
+1.05220000000E+009, -1.44411345987E-001, +0.00000000000E+000
+1.05310000000E+009, -1.44438212267E-001, +0.00000000000E+000
+1.05400000000E+009, -1.45796919567E-001, +0.00000000000E+000
+1.05490000000E+009, -1.43528853498E-001, +0.00000000000E+000
+1.05580000000E+009, -1.45364693637E-001, +0.00000000000E+000
+1.05670000000E+009, -1.45515175652E-001, +0.00000000000E+000
+1.05760000000E+009, -1.45999108866E-001, +0.00000000000E+000
+1.05850000000E+009, -1.47328187848E-001, +0.00000000000E+000
+1.05940000000E+009, -1.48925915225E-001, +0.00000000000E+000
+1.06030000000E+009, -1.47352696516E-001, +0.00000000000E+000
+1.06120000000E+009, -1.48234523270E-001, +0.00000000000E+000
+1.06210000000E+009, -1.48161119689E-001, +0.00000000000E+000
+1.06300000000E+009, -1.49781774166E-001, +0.00000000000E+000
+1.06390000000E+009, -1.48952908842E-001, +0.00000000000E+000
+1.06480000000E+009, -1.49775001783E-001, +0.00000000000E+000
+1.06570000000E+009, -1.50151236377E-001, +0.00000000000E+000
+1.06660000000E+009, -1.52280896231E-001, +0.00000000000E+000
+1.06750000000E+009, -1.52274839451E-001, +0.00000000000E+000
+1.06840000000E+009, -1.53417321597E-001, +0.00000000000E+000
+1.06930000000E+009, -1.53940026126E-001, +0.00000000000E+000
+1.07020000000E+009, -1.54144539921E-001, +0.00000000000E+000
+1.07110000000E+009, -1.54795984818E-001, +0.00000000000E+000
+1.07200000000E+009, -1.54451206393E-001, +0.00000000000E+000
+1.07290000000E+009, -1.56048060237E-001, +0.00000000000E+000
+1.07380000000E+009, -1.55681037381E-001, +0.00000000000E+000
+1.07470000000E+009, -1.56537724052E-001, +0.00000000000E+000
+1.07560000000E+009, -1.56759545336E-001, +0.00000000000E+000
+1.07650000000E+009, -1.57668969217E-001, +0.00000000000E+000
+1.07740000000E+009, -1.58583568015E-001, +0.00000000000E+000
+1.07830000000E+009, -1.59181696020E-001, +0.00000000000E+000
+1.07920000000E+009, -1.59492025687E-001, +0.00000000000E+000
+1.08010000000E+009, -1.60412634692E-001, +0.00000000000E+000
+1.08100000000E+009, -1.59601657587E-001, +0.00000000000E+000
+1.08190000000E+009, -1.60495356686E-001, +0.00000000000E+000
+1.08280000000E+009, -1.60142768925E-001, +0.00000000000E+000
+1.08370000000E+009, -1.61295523369E-001, +0.00000000000E+000
+1.08460000000E+009, -1.61303657637E-001, +0.00000000000E+000
+1.08550000000E+009, -1.63879038372E-001, +0.00000000000E+000
+1.08640000000E+009, -1.63303212816E-001, +0.00000000000E+000
+1.08730000000E+009, -1.63911024302E-001, +0.00000000000E+000
+1.08820000000E+009, -1.64741361218E-001, +0.00000000000E+000
+1.08910000000E+009, -1.65155551399E-001, +0.00000000000E+000
+1.09000000000E+009, -1.65397833137E-001, +0.00000000000E+000
