"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.35458411962E-001, +0.00000000000E+000
+1.00090000000E+009, -1.31765474992E-001, +0.00000000000E+000
+1.00180000000E+009, -1.31798706739E-001, +0.00000000000E+000
+1.00270000000E+009, -1.30369959691E-001, +0.00000000000E+000
+1.00360000000E+009, -1.29591857626E-001, +0.00000000000E+000
+1.00450000000E+009, -1.29179548514E-001, +0.00000000000E+000
+1.00540000000E+009, -1.28936685346E-001, +0.00000000000E+000
+1.00630000000E+009, -1.27422222460E-001, +0.00000000000E+000
+1.00720000000E+009, -1.27405841529E-001, +0.00000000000E+000
+1.00810000000E+009, -1.27775176432E-001, +0.00000000000E+000
+1.00900000000E+009, -1.26346903714E-001, +0.00000000000E+000
+1.00990000000E+009, -1.26373653998E-001, +0.00000000000E+000
+1.01080000000E+009, -1.24479402531E-001, +0.00000000000E+000
+1.01170000000E+009, -1.24210454578E-001, +0.00000000000E+000
+1.01260000000E+009, -1.24408470872E-001, +0.00000000000E+000
+1.01350000000E+009, -1.25395620758E-001, +0.00000000000E+000
+1.01440000000E+009, -1.24894429403E-001, +0.00000000000E+000
+1.01530000000E+009, -1.24551730390E-001, +0.00000000000E+000
+1.01620000000E+009, -1.24404419467E-001, +0.00000000000E+000
+1.01710000000E+009, -1.23703131957E-001, +0.00000000000E+000
+1.01800000000E+009, -1.23534870837E-001, +0.00000000000E+000
+1.01890000000E+009, -1.22882576898E-001, +0.00000000000E+000
+1.01980000000E+009, -1.21296619896E-001, +0.00000000000E+000
+1.02070000000E+009, -1.21974288569E-001, +0.00000000000E+000
+1.02160000000E+009, -1.23054735281E-001, +0.00000000000E+000
+1.02250000000E+009, -1.22151294282E-001, +0.00000000000E+000
+1.02340000000E+009, -1.21207585149E-001, +0.00000000000E+000
+1.02430000000E+009, -1.21020623701E-001, +0.00000000000E+000
+1.02520000000E+009, -1.20774489357E-001, +0.00000000000E+000
+1.02610000000E+009, -1.20160321990E-001, +0.00000000000E+000
+1.02700000000E+009, -1.20406457054E-001, +0.00000000000E+000
+1.02790000000E+009, -1.20514161486E-001, +0.00000000000E+000
+1.02880000000E+009, -1.19889317992E-001, +0.00000000000E+000
+1.02970000000E+009, -1.18436119492E-001, +0.00000000000E+000
+1.03060000000E+009, -1.19725980164E-001, +0.00000000000E+000
+1.03150000000E+009, -1.18036978722E-001, +0.00000000000E+000
+1.03240000000E+009, -1.19234624536E-001, +0.00000000000E+000
+1.03330000000E+009, -1.18093140840E-001, +0.00000000000E+000
+1.03420000000E+009, -1.19010075759E-001, +0.00000000000E+000
+1.03510000000E+009, -1.17931549333E-001, +0.00000000000E+000
+1.03600000000E+009, -1.17698374179E-001, +0.00000000000E+000
+1.03690000000E+009, -1.17842438791E-001, +0.00000000000E+000
+1.03780000000E+009, -1.16892297537E-001, +0.00000000000E+000
+1.03870000000E+009, -1.17198738191E-001, +0.00000000000E+000
+1.03960000000E+009, -1.16683611245E-001, +0.00000000000E+000
+1.04050000000E+009, -1.16375146145E-001, +0.00000000000E+000
+1.04140000000E+009, -1.16137438689E-001, +0.00000000000E+000
+1.04230000000E+009, -1.18324683839E-001, +0.00000000000E+000
+1.04320000000E+009, -1.16611599059E-001, +0.00000000000E+000
+1.04410000000E+009, -1.16034260540E-001, +0.00000000000E+000
+1.04500000000E+009, -1.16441678191E-001, +0.00000000000E+000
+1.04590000000E+009, -1.16008126515E-001, +0.00000000000E+000
+1.04680000000E+009, -1.16279764586E-001, +0.00000000000E+000
+1.04770000000E+009, -1.15363707839E-001, +0.00000000000E+000
+1.04860000000E+009, -1.14844559826E-001, +0.00000000000E+000
+1.04950000000E+009, -1.14427382310E-001, +0.00000000000E+000
+1.05040000000E+009, -1.14904677667E-001, +0.00000000000E+000
+1.05130000000E+009, -1.15524110570E-001, +0.00000000000E+000
+1.05220000000E+009, -1.15925193001E-001, +0.00000000000E+000
+1.05310000000E+009, -1.15423036451E-001, +0.00000000000E+000
+1.05400000000E+009, -1.16682579623E-001, +0.00000000000E+000
+1.05490000000E+009, -1.13633494380E-001, +0.00000000000E+000
+1.05580000000E+009, -1.15588320606E-001, +0.00000000000E+000
+1.05670000000E+009, -1.14729682895E-001, +0.00000000000E+000
+1.05760000000E+009, -1.15256398114E-001, +0.00000000000E+000
+1.05850000000E+009, -1.15254287976E-001, +0.00000000000E+000
+1.05940000000E+009, -1.16809366550E-001, +0.00000000000E+000
+1.06030000000E+009, -1.15675421497E-001, +0.00000000000E+000
+1.06120000000E+009, -1.15862890081E-001, +0.00000000000E+000
+1.06210000000E+009, -1.15484522246E-001, +0.00000000000E+000
+1.06300000000E+009, -1.16703440976E-001, +0.00000000000E+000
+1.06390000000E+009, -1.15541337586E-001, +0.00000000000E+000
+1.06480000000E+009, -1.16392832420E-001, +0.00000000000E+000
+1.06570000000E+009, -1.16519448527E-001, +0.00000000000E+000
+1.06660000000E+009, -1.19049964757E-001, +0.00000000000E+000
+1.06750000000E+009, -1.18766579954E-001, +0.00000000000E+000
+1.06840000000E+009, -1.19282765587E-001, +0.00000000000E+000
+1.06930000000E+009, -1.19532194251E-001, +0.00000000000E+000
+1.07020000000E+009, -1.19574303204E-001, +0.00000000000E+000
+1.07110000000E+009, -1.19980416632E-001, +0.00000000000E+000
+1.07200000000E+009, -1.19212885601E-001, +0.00000000000E+000
+1.07290000000E+009, -1.20155405029E-001, +0.00000000000E+000
+1.07380000000E+009, -1.20103358165E-001, +0.00000000000E+000
+1.07470000000E+009, -1.21816172204E-001, +0.00000000000E+000
+1.07560000000E+009, -1.20813327198E-001, +0.00000000000E+000
+1.07650000000E+009, -1.21202438203E-001, +0.00000000000E+000
