"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.89279288505E-001, +0.00000000000E+000
+1.00090000000E+009, -1.86297430427E-001, +0.00000000000E+000
+1.00180000000E+009, -1.86297647497E-001, +0.00000000000E+000
+1.00270000000E+009, -1.85479947245E-001, +0.00000000000E+000
+1.00360000000E+009, -1.85090989098E-001, +0.00000000000E+000
+1.00450000000E+009, -1.85856603047E-001, +0.00000000000E+000
+1.00540000000E+009, -1.85574994331E-001, +0.00000000000E+000
+1.00630000000E+009, -1.85234784248E-001, +0.00000000000E+000
+1.00720000000E+009, -1.85701046899E-001, +0.00000000000E+000
+1.00810000000E+009, -1.87214441268E-001, +0.00000000000E+000
+1.00900000000E+009, -1.86757063221E-001, +0.00000000000E+000
+1.00990000000E+009, -1.86623414002E-001, +0.00000000000E+000
+1.01080000000E+009, -1.85203646785E-001, +0.00000000000E+000
+1.01170000000E+009, -1.86966968995E-001, +0.00000000000E+000
+1.01260000000E+009, -1.86778837974E-001, +0.00000000000E+000
+1.01350000000E+009, -1.88403929383E-001, +0.00000000000E+000
+1.01440000000E+009, -1.88514141346E-001, +0.00000000000E+000
+1.01530000000E+009, -1.88858360494E-001, +0.00000000000E+000
+1.01620000000E+009, -1.89752838879E-001, +0.00000000000E+000
+1.01710000000E+009, -1.89277724881E-001, +0.00000000000E+000
+1.01800000000E+009, -1.90138605158E-001, +0.00000000000E+000
+1.01890000000E+009, -1.90520530354E-001, +0.00000000000E+000
+1.01980000000E+009, -1.90113265085E-001, +0.00000000000E+000
+1.02070000000E+009, -1.91090036481E-001, +0.00000000000E+000
+1.02160000000E+009, -1.91961124791E-001, +0.00000000000E+000
+1.02250000000E+009, -1.92564084074E-001, +0.00000000000E+000
+1.02340000000E+009, -1.91983977796E-001, +0.00000000000E+000
+1.02430000000E+009, -1.93409788401E-001, +0.00000000000E+000
+1.02520000000E+009, -1.93295226562E-001, +0.00000000000E+000
+1.02610000000E+009, -1.93989555754E-001, +0.00000000000E+000
+1.02700000000E+009, -1.94212078007E-001, +0.00000000000E+000
+1.02790000000E+009, -1.94712410585E-001, +0.00000000000E+000
+1.02880000000E+009, -1.95080883837E-001, +0.00000000000E+000
+1.02970000000E+009, -1.94420138369E-001, +0.00000000000E+000
+1.03060000000E+009, -1.96314204489E-001, +0.00000000000E+000
+1.03150000000E+009, -1.95182002411E-001, +0.00000000000E+000
+1.03240000000E+009, -1.97882324459E-001, +0.00000000000E+000
+1.03330000000E+009, -1.97958761446E-001, +0.00000000000E+000
+1.03420000000E+009, -1.99369156365E-001, +0.00000000000E+000
+1.03510000000E+009, -1.99014692591E-001, +0.00000000000E+000
+1.03600000000E+009, -2.00360552820E-001, +0.00000000000E+000
+1.03690000000E+009, -1.99868249532E-001, +0.00000000000E+000
+1.03780000000E+009, -2.01544754209E-001, +0.00000000000E+000
+1.03870000000E+009, -2.02256868698E-001, +0.00000000000E+000
+1.03960000000E+009, -2.02953541302E-001, +0.00000000000E+000
+1.04050000000E+009, -2.03167501604E-001, +0.00000000000E+000
+1.04140000000E+009, -2.03659639121E-001, +0.00000000000E+000
+1.04230000000E+009, -2.06793168307E-001, +0.00000000000E+000
+1.04320000000E+009, -2.06815776572E-001, +0.00000000000E+000
+1.04410000000E+009, -2.06830584833E-001, +0.00000000000E+000
+1.04500000000E+009, -2.09053777218E-001, +0.00000000000E+000
+1.04590000000E+009, -2.09880424136E-001, +0.00000000000E+000
+1.04680000000E+009, -2.10843165752E-001, +0.00000000000E+000
+1.04770000000E+009, -2.11715336164E-001, +0.00000000000E+000
+1.04860000000E+009, -2.11656620702E-001, +0.00000000000E+000
+1.04950000000E+009, -2.13780710257E-001, +0.00000000000E+000
+1.05040000000E+009, -2.15136787000E-001, +0.00000000000E+000
+1.05130000000E+009, -2.16137146551E-001, +0.00000000000E+000
+1.05220000000E+009, -2.18038100247E-001, +0.00000000000E+000
+1.05310000000E+009, -2.18912563912E-001, +0.00000000000E+000
+1.05400000000E+009, -2.21692575724E-001, +0.00000000000E+000
+1.05490000000E+009, -2.19536536025E-001, +0.00000000000E+000
+1.05580000000E+009, -2.23165676507E-001, +0.00000000000E+000
+1.05670000000E+009, -2.23869951182E-001, +0.00000000000E+000
+1.05760000000E+009, -2.25903977814E-001, +0.00000000000E+000
+1.05850000000E+009, -2.27294370138E-001, +0.00000000000E+000
+1.05940000000E+009, -2.30239288309E-001, +0.00000000000E+000
+1.06030000000E+009, -2.30735720000E-001, +0.00000000000E+000
+1.06120000000E+009, -2.32183998104E-001, +0.00000000000E+000
+1.06210000000E+009, -2.33793934236E-001, +0.00000000000E+000
+1.06300000000E+009, -2.35752135326E-001, +0.00000000000E+000
+1.06390000000E+009, -2.37599695841E-001, +0.00000000000E+000
+1.06480000000E+009, -2.39001915887E-001, +0.00000000000E+000
+1.06570000000E+009, -2.40932892769E-001, +0.00000000000E+000
+1.06660000000E+009, -2.44067245126E-001, +0.00000000000E+000
+1.06750000000E+009, -2.45345729713E-001, +0.00000000000E+000
+1.06840000000E+009, -2.47764688756E-001, +0.00000000000E+000
+1.06930000000E+009, -2.49659138895E-001, +0.00000000000E+000
+1.07020000000E+009, -2.51421864992E-001, +0.00000000000E+000
+1.07110000000E+009, -2.52513702277E-001, +0.00000000000E+000
+1.07200000000E+009, -2.54354711121E-001, +0.00000000000E+000
+1.07290000000E+009, -2.56748346971E-001, +0.00000000000E+000
+1.07380000000E+009, -2.58512984393E-001, +0.00000000000E+000
+1.07470000000E+009, -2.61610594024E-001, +0.00000000000E+000
+1.07560000000E+009, -2.62785156424E-001, +0.00000000000E+000
+1.07650000000E+009, -2.65101530784E-001, +0.00000000000E+000
+1.07740000000E+009, -2.67282358029E-001, +0.00000000000E+000
+1.07830000000E+009, -2.70129422627E-001, +0.00000000000E+000
+1.07920000000E+009, -2.71327284681E-001, +0.00000000000E+000
+1.08010000000E+009, -2.74822200622E-001, +0.00000000000E+000
+1.08100000000E+009, -2.76331054832E-001, +0.00000000000E+000
+1.08190000000E+009, -2.78647829626E-001, +0.00000000000E+000
+1.08280000000E+009, -2.80370330714E-001, +0.00000000000E+000
+1.08370000000E+009, -2.83190444231E-001, +0.00000000000E+000
