"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.24740474051E-001, +0.00000000000E+000
+1.00090000000E+009, -2.21804981602E-001, +0.00000000000E+000
+1.00180000000E+009, -2.20479990930E-001, +0.00000000000E+000
+1.00270000000E+009, -2.18564508452E-001, +0.00000000000E+000
+1.00360000000E+009, -2.18263822727E-001, +0.00000000000E+000
+1.00450000000E+009, -2.17988704048E-001, +0.00000000000E+000
+1.00540000000E+009, -2.17856485890E-001, +0.00000000000E+000
+1.00630000000E+009, -2.16112174183E-001, +0.00000000000E+000
+1.00720000000E+009, -2.16156559347E-001, +0.00000000000E+000
+1.00810000000E+009, -2.17191587174E-001, +0.00000000000E+000
+1.00900000000E+009, -2.16752589346E-001, +0.00000000000E+000
+1.00990000000E+009, -2.17428061712E-001, +0.00000000000E+000
+1.01080000000E+009, -2.16762226570E-001, +0.00000000000E+000
+1.01170000000E+009, -2.17446853748E-001, +0.00000000000E+000
+1.01260000000E+009, -2.16329349940E-001, +0.00000000000E+000
+1.01350000000E+009, -2.16980478291E-001, +0.00000000000E+000
+1.01440000000E+009, -2.16631449915E-001, +0.00000000000E+000
+1.01530000000E+009, -2.15230373240E-001, +0.00000000000E+000
+1.01620000000E+009, -2.15774974613E-001, +0.00000000000E+000
+1.01710000000E+009, -2.14166566681E-001, +0.00000000000E+000
+1.01800000000E+009, -2.14132816653E-001, +0.00000000000E+000
+1.01890000000E+009, -2.14117788273E-001, +0.00000000000E+000
+1.01980000000E+009, -2.13400067669E-001, +0.00000000000E+000
+1.02070000000E+009, -2.13777263593E-001, +0.00000000000E+000
+1.02160000000E+009, -2.15705507339E-001, +0.00000000000E+000
+1.02250000000E+009, -2.15649385110E-001, +0.00000000000E+000
+1.02340000000E+009, -2.14884771063E-001, +0.00000000000E+000
+1.02430000000E+009, -2.15191191682E-001, +0.00000000000E+000
+1.02520000000E+009, -2.16694139952E-001, +0.00000000000E+000
+1.02610000000E+009, -2.15833030863E-001, +0.00000000000E+000
+1.02700000000E+009, -2.15928018348E-001, +0.00000000000E+000
+1.02790000000E+009, -2.15217959208E-001, +0.00000000000E+000
+1.02880000000E+009, -2.16089834106E-001, +0.00000000000E+000
+1.02970000000E+009, -2.14424901445E-001, +0.00000000000E+000
+1.03060000000E+009, -2.15119626357E-001, +0.00000000000E+000
+1.03150000000E+009, -2.13743603764E-001, +0.00000000000E+000
+1.03240000000E+009, -2.14926649210E-001, +0.00000000000E+000
