"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.31539493496E-001, +0.00000000000E+000
+1.00090000000E+009, -1.28640909405E-001, +0.00000000000E+000
+1.00180000000E+009, -1.27779262718E-001, +0.00000000000E+000
+1.00270000000E+009, -1.26842931065E-001, +0.00000000000E+000
+1.00360000000E+009, -1.25621037870E-001, +0.00000000000E+000
+1.00450000000E+009, -1.26493937034E-001, +0.00000000000E+000
+1.00540000000E+009, -1.25874399645E-001, +0.00000000000E+000
+1.00630000000E+009, -1.24615656349E-001, +0.00000000000E+000
+1.00720000000E+009, -1.24555204529E-001, +0.00000000000E+000
+1.00810000000E+009, -1.24611670577E-001, +0.00000000000E+000
+1.00900000000E+009, -1.23397465803E-001, +0.00000000000E+000
+1.00990000000E+009, -1.23557551250E-001, +0.00000000000E+000
+1.01080000000E+009, -1.21795966320E-001, +0.00000000000E+000
+1.01170000000E+009, -1.22014304927E-001, +0.00000000000E+000
+1.01260000000E+009, -1.21956920899E-001, +0.00000000000E+000
+1.01350000000E+009, -1.22753991673E-001, +0.00000000000E+000
+1.01440000000E+009, -1.22453941664E-001, +0.00000000000E+000
+1.01530000000E+009, -1.21838428387E-001, +0.00000000000E+000
+1.01620000000E+009, -1.22590542672E-001, +0.00000000000E+000
+1.01710000000E+009, -1.21446144925E-001, +0.00000000000E+000
+1.01800000000E+009, -1.21581508687E-001, +0.00000000000E+000
+1.01890000000E+009, -1.19823379043E-001, +0.00000000000E+000
+1.01980000000E+009, -1.19262880691E-001, +0.00000000000E+000
+1.02070000000E+009, -1.19851492599E-001, +0.00000000000E+000
+1.02160000000E+009, -1.21218206409E-001, +0.00000000000E+000
+1.02250000000E+009, -1.19718109801E-001, +0.00000000000E+000
+1.02340000000E+009, -1.18442586722E-001, +0.00000000000E+000
+1.02430000000E+009, -1.18589145494E-001, +0.00000000000E+000
+1.02520000000E+009, -1.18569259253E-001, +0.00000000000E+000
+1.02610000000E+009, -1.17662003642E-001, +0.00000000000E+000
