"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.14693676845E-001, +0.00000000000E+000
+1.00090000000E+009, -2.12267368689E-001, +0.00000000000E+000
+1.00180000000E+009, -2.13124468554E-001, +0.00000000000E+000
+1.00270000000E+009, -2.12413417533E-001, +0.00000000000E+000
+1.00360000000E+009, -2.12118776812E-001, +0.00000000000E+000
+1.00450000000E+009, -2.12988559032E-001, +0.00000000000E+000
+1.00540000000E+009, -2.13379625338E-001, +0.00000000000E+000
+1.00630000000E+009, -2.12657454011E-001, +0.00000000000E+000
+1.00720000000E+009, -2.13824250380E-001, +0.00000000000E+000
+1.00810000000E+009, -2.15325791494E-001, +0.00000000000E+000
+1.00900000000E+009, -2.15769622980E-001, +0.00000000000E+000
+1.00990000000E+009, -2.16529177929E-001, +0.00000000000E+000
+1.01080000000E+009, -2.15443132748E-001, +0.00000000000E+000
+1.01170000000E+009, -2.16968010839E-001, +0.00000000000E+000
+1.01260000000E+009, -2.17218558568E-001, +0.00000000000E+000
+1.01350000000E+009, -2.19358016301E-001, +0.00000000000E+000
+1.01440000000E+009, -2.19579158623E-001, +0.00000000000E+000
+1.01530000000E+009, -2.20148436670E-001, +0.00000000000E+000
+1.01620000000E+009, -2.22416037033E-001, +0.00000000000E+000
+1.01710000000E+009, -2.22129571416E-001, +0.00000000000E+000
+1.01800000000E+009, -2.22964714470E-001, +0.00000000000E+000
+1.01890000000E+009, -2.23405104979E-001, +0.00000000000E+000
+1.01980000000E+009, -2.23830544255E-001, +0.00000000000E+000
+1.02070000000E+009, -2.24585775076E-001, +0.00000000000E+000
+1.02160000000E+009, -2.27743804290E-001, +0.00000000000E+000
+1.02250000000E+009, -2.28005780105E-001, +0.00000000000E+000
+1.02340000000E+009, -2.28686459601E-001, +0.00000000000E+000
+1.02430000000E+009, -2.29660900636E-001, +0.00000000000E+000
+1.02520000000E+009, -2.30798311042E-001, +0.00000000000E+000
+1.02610000000E+009, -2.31455515859E-001, +0.00000000000E+000
+1.02700000000E+009, -2.32501427938E-001, +0.00000000000E+000
+1.02790000000E+009, -2.33623919927E-001, +0.00000000000E+000
+1.02880000000E+009, -2.34313049020E-001, +0.00000000000E+000
+1.02970000000E+009, -2.34946549742E-001, +0.00000000000E+000
+1.03060000000E+009, -2.36153497306E-001, +0.00000000000E+000
+1.03150000000E+009, -2.36707260649E-001, +0.00000000000E+000
+1.03240000000E+009, -2.39523939324E-001, +0.00000000000E+000
+1.03330000000E+009, -2.39922445947E-001, +0.00000000000E+000
+1.03420000000E+009, -2.42091218327E-001, +0.00000000000E+000
+1.03510000000E+009, -2.41719438952E-001, +0.00000000000E+000
+1.03600000000E+009, -2.43134591465E-001, +0.00000000000E+000
+1.03690000000E+009, -2.44569755583E-001, +0.00000000000E+000
+1.03780000000E+009, -2.45839773393E-001, +0.00000000000E+000
+1.03870000000E+009, -2.47863129715E-001, +0.00000000000E+000
+1.03960000000E+009, -2.47944455149E-001, +0.00000000000E+000
+1.04050000000E+009, -2.49564429593E-001, +0.00000000000E+000
+1.04140000000E+009, -2.50268657709E-001, +0.00000000000E+000
+1.04230000000E+009, -2.53968856643E-001, +0.00000000000E+000
+1.04320000000E+009, -2.54265081449E-001, +0.00000000000E+000
+1.04410000000E+009, -2.54699514029E-001, +0.00000000000E+000
+1.04500000000E+009, -2.57267295824E-001, +0.00000000000E+000
+1.04590000000E+009, -2.58372758512E-001, +0.00000000000E+000
+1.04680000000E+009, -2.60054981311E-001, +0.00000000000E+000
+1.04770000000E+009, -2.61598624005E-001, +0.00000000000E+000
+1.04860000000E+009, -2.62007145027E-001, +0.00000000000E+000
+1.04950000000E+009, -2.63519433263E-001, +0.00000000000E+000
+1.05040000000E+009, -2.65633708798E-001, +0.00000000000E+000
+1.05130000000E+009, -2.67772278453E-001, +0.00000000000E+000
+1.05220000000E+009, -2.70430015173E-001, +0.00000000000E+000
+1.05310000000E+009, -2.70641011069E-001, +0.00000000000E+000
+1.05400000000E+009, -2.73358428045E-001, +0.00000000000E+000
+1.05490000000E+009, -2.72181138411E-001, +0.00000000000E+000
+1.05580000000E+009, -2.75766495580E-001, +0.00000000000E+000
+1.05670000000E+009, -2.76717111126E-001, +0.00000000000E+000
+1.05760000000E+009, -2.79597686672E-001, +0.00000000000E+000
+1.05850000000E+009, -2.81427817819E-001, +0.00000000000E+000
+1.05940000000E+009, -2.84398378613E-001, +0.00000000000E+000
+1.06030000000E+009, -2.86029078411E-001, +0.00000000000E+000
+1.06120000000E+009, -2.87507644437E-001, +0.00000000000E+000
+1.06210000000E+009, -2.88694374000E-001, +0.00000000000E+000
