"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.45506349084E-001, +0.00000000000E+000
+1.00090000000E+009, -1.42872918620E-001, +0.00000000000E+000
+1.00180000000E+009, -1.42285342096E-001, +0.00000000000E+000
+1.00270000000E+009, -1.40411251987E-001, +0.00000000000E+000
+1.00360000000E+009, -1.39672274785E-001, +0.00000000000E+000
+1.00450000000E+009, -1.39976702655E-001, +0.00000000000E+000
+1.00540000000E+009, -1.39605949382E-001, +0.00000000000E+000
+1.00630000000E+009, -1.38152450405E-001, +0.00000000000E+000
+1.00720000000E+009, -1.37605627206E-001, +0.00000000000E+000
+1.00810000000E+009, -1.38434283771E-001, +0.00000000000E+000
+1.00900000000E+009, -1.37441874454E-001, +0.00000000000E+000
+1.00990000000E+009, -1.37606094527E-001, +0.00000000000E+000
+1.01080000000E+009, -1.35032461122E-001, +0.00000000000E+000
+1.01170000000E+009, -1.35762190765E-001, +0.00000000000E+000
+1.01260000000E+009, -1.35933105275E-001, +0.00000000000E+000
+1.01350000000E+009, -1.36143283985E-001, +0.00000000000E+000
+1.01440000000E+009, -1.35351749611E-001, +0.00000000000E+000
+1.01530000000E+009, -1.35209792986E-001, +0.00000000000E+000
+1.01620000000E+009, -1.35882904148E-001, +0.00000000000E+000
+1.01710000000E+009, -1.34850511985E-001, +0.00000000000E+000
+1.01800000000E+009, -1.34558466277E-001, +0.00000000000E+000
+1.01890000000E+009, -1.33836114074E-001, +0.00000000000E+000
+1.01980000000E+009, -1.33371602994E-001, +0.00000000000E+000
+1.02070000000E+009, -1.33874952421E-001, +0.00000000000E+000
+1.02160000000E+009, -1.35325141929E-001, +0.00000000000E+000
+1.02250000000E+009, -1.34749875543E-001, +0.00000000000E+000
+1.02340000000E+009, -1.33229389286E-001, +0.00000000000E+000
+1.02430000000E+009, -1.33663295188E-001, +0.00000000000E+000
+1.02520000000E+009, -1.33598831776E-001, +0.00000000000E+000
