"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.34606116224E-001, +0.00000000000E+000
+1.00090000000E+009, -1.32150481526E-001, +0.00000000000E+000
+1.00180000000E+009, -1.31366494463E-001, +0.00000000000E+000
+1.00270000000E+009, -1.31072268666E-001, +0.00000000000E+000
+1.00360000000E+009, -1.29742340172E-001, +0.00000000000E+000
+1.00450000000E+009, -1.30113585792E-001, +0.00000000000E+000
+1.00540000000E+009, -1.29874006020E-001, +0.00000000000E+000
+1.00630000000E+009, -1.28840686201E-001, +0.00000000000E+000
+1.00720000000E+009, -1.28711124080E-001, +0.00000000000E+000
+1.00810000000E+009, -1.29551749489E-001, +0.00000000000E+000
+1.00900000000E+009, -1.28933532370E-001, +0.00000000000E+000
+1.00990000000E+009, -1.28687594965E-001, +0.00000000000E+000
+1.01080000000E+009, -1.26700713907E-001, +0.00000000000E+000
+1.01170000000E+009, -1.27179036992E-001, +0.00000000000E+000
+1.01260000000E+009, -1.27793576912E-001, +0.00000000000E+000
+1.01350000000E+009, -1.28043248133E-001, +0.00000000000E+000
+1.01440000000E+009, -1.27826671186E-001, +0.00000000000E+000
+1.01530000000E+009, -1.27443032292E-001, +0.00000000000E+000
+1.01620000000E+009, -1.28315857454E-001, +0.00000000000E+000
+1.01710000000E+009, -1.27701303465E-001, +0.00000000000E+000
+1.01800000000E+009, -1.27626311391E-001, +0.00000000000E+000
+1.01890000000E+009, -1.26800380784E-001, +0.00000000000E+000
+1.01980000000E+009, -1.26080850259E-001, +0.00000000000E+000
+1.02070000000E+009, -1.27132537990E-001, +0.00000000000E+000
+1.02160000000E+009, -1.28395425441E-001, +0.00000000000E+000
+1.02250000000E+009, -1.27839505034E-001, +0.00000000000E+000
+1.02340000000E+009, -1.27389061693E-001, +0.00000000000E+000
+1.02430000000E+009, -1.27017337326E-001, +0.00000000000E+000
+1.02520000000E+009, -1.27301780346E-001, +0.00000000000E+000
+1.02610000000E+009, -1.26207753492E-001, +0.00000000000E+000
+1.02700000000E+009, -1.26234936693E-001, +0.00000000000E+000
+1.02790000000E+009, -1.26659372893E-001, +0.00000000000E+000
+1.02880000000E+009, -1.26092189784E-001, +0.00000000000E+000
+1.02970000000E+009, -1.26009831749E-001, +0.00000000000E+000
+1.03060000000E+009, -1.26460512554E-001, +0.00000000000E+000
+1.03150000000E+009, -1.25053209037E-001, +0.00000000000E+000
+1.03240000000E+009, -1.26690836275E-001, +0.00000000000E+000
+1.03330000000E+009, -1.25992800983E-001, +0.00000000000E+000
+1.03420000000E+009, -1.27539747701E-001, +0.00000000000E+000
+1.03510000000E+009, -1.26577852071E-001, +0.00000000000E+000
+1.03600000000E+009, -1.26182921531E-001, +0.00000000000E+000
+1.03690000000E+009, -1.25870169732E-001, +0.00000000000E+000
+1.03780000000E+009, -1.26059346443E-001, +0.00000000000E+000
+1.03870000000E+009, -1.26968901968E-001, +0.00000000000E+000
+1.03960000000E+009, -1.26035718341E-001, +0.00000000000E+000
+1.04050000000E+009, -1.26049977125E-001, +0.00000000000E+000
+1.04140000000E+009, -1.26370796300E-001, +0.00000000000E+000
+1.04230000000E+009, -1.27641632495E-001, +0.00000000000E+000
+1.04320000000E+009, -1.27840494517E-001, +0.00000000000E+000
+1.04410000000E+009, -1.27116394367E-001, +0.00000000000E+000
+1.04500000000E+009, -1.28196783473E-001, +0.00000000000E+000
+1.04590000000E+009, -1.28539009843E-001, +0.00000000000E+000
+1.04680000000E+009, -1.28083882526E-001, +0.00000000000E+000
+1.04770000000E+009, -1.29082738209E-001, +0.00000000000E+000
+1.04860000000E+009, -1.28394012389E-001, +0.00000000000E+000
+1.04950000000E+009, -1.28696890074E-001, +0.00000000000E+000
+1.05040000000E+009, -1.29242073335E-001, +0.00000000000E+000
+1.05130000000E+009, -1.30068844991E-001, +0.00000000000E+000
+1.05220000000E+009, -1.31013004518E-001, +0.00000000000E+000
+1.05310000000E+009, -1.30517229044E-001, +0.00000000000E+000
+1.05400000000E+009, -1.32943573067E-001, +0.00000000000E+000
+1.05490000000E+009, -1.30236831129E-001, +0.00000000000E+000
+1.05580000000E+009, -1.32211320725E-001, +0.00000000000E+000
+1.05670000000E+009, -1.31241789678E-001, +0.00000000000E+000
+1.05760000000E+009, -1.33120763032E-001, +0.00000000000E+000
+1.05850000000E+009, -1.33321960240E-001, +0.00000000000E+000
+1.05940000000E+009, -1.35234681659E-001, +0.00000000000E+000
+1.06030000000E+009, -1.34406948011E-001, +0.00000000000E+000
+1.06120000000E+009, -1.35277533579E-001, +0.00000000000E+000
+1.06210000000E+009, -1.34944897940E-001, +0.00000000000E+000
+1.06300000000E+009, -1.36341017213E-001, +0.00000000000E+000
+1.06390000000E+009, -1.36431070593E-001, +0.00000000000E+000
+1.06480000000E+009, -1.37437881510E-001, +0.00000000000E+000
+1.06570000000E+009, -1.37594286903E-001, +0.00000000000E+000
+1.06660000000E+009, -1.40319541896E-001, +0.00000000000E+000
