"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.33261652966E-001, +0.00000000000E+000
+1.00090000000E+009, -1.30770096878E-001, +0.00000000000E+000
+1.00180000000E+009, -1.29880893796E-001, +0.00000000000E+000
+1.00270000000E+009, -1.28197704206E-001, +0.00000000000E+000
+1.00360000000E+009, -1.27601170182E-001, +0.00000000000E+000
+1.00450000000E+009, -1.28024776283E-001, +0.00000000000E+000
+1.00540000000E+009, -1.27087266787E-001, +0.00000000000E+000
+1.00630000000E+009, -1.26032755945E-001, +0.00000000000E+000
+1.00720000000E+009, -1.25765154016E-001, +0.00000000000E+000
+1.00810000000E+009, -1.26207306224E-001, +0.00000000000E+000
+1.00900000000E+009, -1.25476734224E-001, +0.00000000000E+000
+1.00990000000E+009, -1.25371348005E-001, +0.00000000000E+000
+1.01080000000E+009, -1.23106503762E-001, +0.00000000000E+000
+1.01170000000E+009, -1.23342642978E-001, +0.00000000000E+000
+1.01260000000E+009, -1.23488314365E-001, +0.00000000000E+000
+1.01350000000E+009, -1.24122169108E-001, +0.00000000000E+000
+1.01440000000E+009, -1.23100895824E-001, +0.00000000000E+000
+1.01530000000E+009, -1.22605226701E-001, +0.00000000000E+000
+1.01620000000E+009, -1.23232914211E-001, +0.00000000000E+000
+1.01710000000E+009, -1.22648710313E-001, +0.00000000000E+000
+1.01800000000E+009, -1.22412749215E-001, +0.00000000000E+000
+1.01890000000E+009, -1.20956931638E-001, +0.00000000000E+000
+1.01980000000E+009, -1.20563275423E-001, +0.00000000000E+000
+1.02070000000E+009, -1.20399410527E-001, +0.00000000000E+000
+1.02160000000E+009, -1.21981802685E-001, +0.00000000000E+000
+1.02250000000E+009, -1.20761701916E-001, +0.00000000000E+000
+1.02340000000E+009, -1.19811727286E-001, +0.00000000000E+000
+1.02430000000E+009, -1.19352269451E-001, +0.00000000000E+000
+1.02520000000E+009, -1.19638427435E-001, +0.00000000000E+000
+1.02610000000E+009, -1.18070343055E-001, +0.00000000000E+000
+1.02700000000E+009, -1.18285309369E-001, +0.00000000000E+000
+1.02790000000E+009, -1.17910754008E-001, +0.00000000000E+000
+1.02880000000E+009, -1.17356296640E-001, +0.00000000000E+000
+1.02970000000E+009, -1.16171934524E-001, +0.00000000000E+000
+1.03060000000E+009, -1.16965848639E-001, +0.00000000000E+000
+1.03150000000E+009, -1.15845580427E-001, +0.00000000000E+000
+1.03240000000E+009, -1.17129513024E-001, +0.00000000000E+000
+1.03330000000E+009, -1.15846794002E-001, +0.00000000000E+000
+1.03420000000E+009, -1.16339781109E-001, +0.00000000000E+000
+1.03510000000E+009, -1.15539866476E-001, +0.00000000000E+000
+1.03600000000E+009, -1.14316631176E-001, +0.00000000000E+000
+1.03690000000E+009, -1.14694104635E-001, +0.00000000000E+000
+1.03780000000E+009, -1.14488941209E-001, +0.00000000000E+000
+1.03870000000E+009, -1.14964185661E-001, +0.00000000000E+000
+1.03960000000E+009, -1.13988789199E-001, +0.00000000000E+000
+1.04050000000E+009, -1.13786042992E-001, +0.00000000000E+000
+1.04140000000E+009, -1.13071913330E-001, +0.00000000000E+000
+1.04230000000E+009, -1.14934965667E-001, +0.00000000000E+000
+1.04320000000E+009, -1.13762511024E-001, +0.00000000000E+000
+1.04410000000E+009, -1.12967727087E-001, +0.00000000000E+000
+1.04500000000E+009, -1.13765782311E-001, +0.00000000000E+000
+1.04590000000E+009, -1.13387652578E-001, +0.00000000000E+000
+1.04680000000E+009, -1.13356490446E-001, +0.00000000000E+000
+1.04770000000E+009, -1.12612754343E-001, +0.00000000000E+000
+1.04860000000E+009, -1.12014516016E-001, +0.00000000000E+000
+1.04950000000E+009, -1.12748981465E-001, +0.00000000000E+000
+1.05040000000E+009, -1.12372318623E-001, +0.00000000000E+000
+1.05130000000E+009, -1.12035902658E-001, +0.00000000000E+000
+1.05220000000E+009, -1.13359291429E-001, +0.00000000000E+000
+1.05310000000E+009, -1.12545314625E-001, +0.00000000000E+000
+1.05400000000E+009, -1.13498153101E-001, +0.00000000000E+000
+1.05490000000E+009, -1.11096428318E-001, +0.00000000000E+000
+1.05580000000E+009, -1.12556156588E-001, +0.00000000000E+000
+1.05670000000E+009, -1.11363114784E-001, +0.00000000000E+000
+1.05760000000E+009, -1.12689325837E-001, +0.00000000000E+000
+1.05850000000E+009, -1.12864616526E-001, +0.00000000000E+000
+1.05940000000E+009, -1.13617397250E-001, +0.00000000000E+000
+1.06030000000E+009, -1.12301112383E-001, +0.00000000000E+000
+1.06120000000E+009, -1.13570804416E-001, +0.00000000000E+000
+1.06210000000E+009, -1.12111826021E-001, +0.00000000000E+000
+1.06300000000E+009, -1.13303640242E-001, +0.00000000000E+000
+1.06390000000E+009, -1.12777329786E-001, +0.00000000000E+000
+1.06480000000E+009, -1.12879430994E-001, +0.00000000000E+000
+1.06570000000E+009, -1.12929107278E-001, +0.00000000000E+000
+1.06660000000E+009, -1.15450610085E-001, +0.00000000000E+000
+1.06750000000E+009, -1.15343295961E-001, +0.00000000000E+000
+1.06840000000E+009, -1.14875930730E-001, +0.00000000000E+000
+1.06930000000E+009, -1.15257152070E-001, +0.00000000000E+000
+1.07020000000E+009, -1.15061471715E-001, +0.00000000000E+000
+1.07110000000E+009, -1.14857337339E-001, +0.00000000000E+000
+1.07200000000E+009, -1.14853000201E-001, +0.00000000000E+000
+1.07290000000E+009, -1.15332608430E-001, +0.00000000000E+000
+1.07380000000E+009, -1.15616881396E-001, +0.00000000000E+000
+1.07470000000E+009, -1.15989158742E-001, +0.00000000000E+000
+1.07560000000E+009, -1.15861208114E-001, +0.00000000000E+000
+1.07650000000E+009, -1.16030942356E-001, +0.00000000000E+000
+1.07740000000E+009, -1.16756496235E-001, +0.00000000000E+000
+1.07830000000E+009, -1.16855536223E-001, +0.00000000000E+000
+1.07920000000E+009, -1.16924874818E-001, +0.00000000000E+000
+1.08010000000E+009, -1.17943698711E-001, +0.00000000000E+000
+1.08100000000E+009, -1.16653197269E-001, +0.00000000000E+000
+1.08190000000E+009, -1.17750300656E-001, +0.00000000000E+000
+1.08280000000E+009, -1.17214553602E-001, +0.00000000000E+000
+1.08370000000E+009, -1.18287830115E-001, +0.00000000000E+000
+1.08460000000E+009, -1.18419527088E-001, +0.00000000000E+000
