"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.95699774758E-001, +0.00000000000E+000
+1.00090000000E+009, -2.93356611676E-001, +0.00000000000E+000
+1.00180000000E+009, -2.93313892664E-001, +0.00000000000E+000
+1.00270000000E+009, -2.92509260951E-001, +0.00000000000E+000
+1.00360000000E+009, -2.91227736470E-001, +0.00000000000E+000
+1.00450000000E+009, -2.92382358385E-001, +0.00000000000E+000
+1.00540000000E+009, -2.92714847620E-001, +0.00000000000E+000
+1.00630000000E+009, -2.92588460513E-001, +0.00000000000E+000
+1.00720000000E+009, -2.92594838608E-001, +0.00000000000E+000
+1.00810000000E+009, -2.93392159641E-001, +0.00000000000E+000
+1.00900000000E+009, -2.93127446995E-001, +0.00000000000E+000
+1.00990000000E+009, -2.93297851616E-001, +0.00000000000E+000
+1.01080000000E+009, -2.92450282157E-001, +0.00000000000E+000
+1.01170000000E+009, -2.93721443544E-001, +0.00000000000E+000
+1.01260000000E+009, -2.93632821004E-001, +0.00000000000E+000
+1.01350000000E+009, -2.95393233696E-001, +0.00000000000E+000
+1.01440000000E+009, -2.95951703031E-001, +0.00000000000E+000
+1.01530000000E+009, -2.95749855199E-001, +0.00000000000E+000
+1.01620000000E+009, -2.97074703453E-001, +0.00000000000E+000
+1.01710000000E+009, -2.96344164915E-001, +0.00000000000E+000
+1.01800000000E+009, -2.97065041747E-001, +0.00000000000E+000
+1.01890000000E+009, -2.96691049541E-001, +0.00000000000E+000
+1.01980000000E+009, -2.97193513407E-001, +0.00000000000E+000
+1.02070000000E+009, -2.98938493140E-001, +0.00000000000E+000
+1.02160000000E+009, -3.01048018050E-001, +0.00000000000E+000
+1.02250000000E+009, -3.01254277658E-001, +0.00000000000E+000
+1.02340000000E+009, -3.01015373824E-001, +0.00000000000E+000
+1.02430000000E+009, -3.01343750434E-001, +0.00000000000E+000
+1.02520000000E+009, -3.02807730362E-001, +0.00000000000E+000
+1.02610000000E+009, -3.02563099615E-001, +0.00000000000E+000
+1.02700000000E+009, -3.03062966773E-001, +0.00000000000E+000
+1.02790000000E+009, -3.04998726941E-001, +0.00000000000E+000
+1.02880000000E+009, -3.04931805748E-001, +0.00000000000E+000
+1.02970000000E+009, -3.04954758927E-001, +0.00000000000E+000
+1.03060000000E+009, -3.06512246003E-001, +0.00000000000E+000
+1.03150000000E+009, -3.06039025059E-001, +0.00000000000E+000
+1.03240000000E+009, -3.08018164080E-001, +0.00000000000E+000
+1.03330000000E+009, -3.09065519331E-001, +0.00000000000E+000
+1.03420000000E+009, -3.10930495623E-001, +0.00000000000E+000
+1.03510000000E+009, -3.10350325692E-001, +0.00000000000E+000
+1.03600000000E+009, -3.10435088774E-001, +0.00000000000E+000
+1.03690000000E+009, -3.10984612002E-001, +0.00000000000E+000
+1.03780000000E+009, -3.11956400558E-001, +0.00000000000E+000
+1.03870000000E+009, -3.13390551704E-001, +0.00000000000E+000
+1.03960000000E+009, -3.13140151992E-001, +0.00000000000E+000
+1.04050000000E+009, -3.13407525040E-001, +0.00000000000E+000
+1.04140000000E+009, -3.14251573445E-001, +0.00000000000E+000
+1.04230000000E+009, -3.16966007583E-001, +0.00000000000E+000
+1.04320000000E+009, -3.16826283306E-001, +0.00000000000E+000
+1.04410000000E+009, -3.17186338340E-001, +0.00000000000E+000
+1.04500000000E+009, -3.18763309644E-001, +0.00000000000E+000
+1.04590000000E+009, -3.19805401798E-001, +0.00000000000E+000
+1.04680000000E+009, -3.20802715283E-001, +0.00000000000E+000
+1.04770000000E+009, -3.21129489622E-001, +0.00000000000E+000
+1.04860000000E+009, -3.20033446454E-001, +0.00000000000E+000
+1.04950000000E+009, -3.21807964762E-001, +0.00000000000E+000
+1.05040000000E+009, -3.22614788192E-001, +0.00000000000E+000
+1.05130000000E+009, -3.23177220114E-001, +0.00000000000E+000
+1.05220000000E+009, -3.26202399568E-001, +0.00000000000E+000
+1.05310000000E+009, -3.26069508064E-001, +0.00000000000E+000
+1.05400000000E+009, -3.28123951973E-001, +0.00000000000E+000
+1.05490000000E+009, -3.25832372011E-001, +0.00000000000E+000
+1.05580000000E+009, -3.28389616733E-001, +0.00000000000E+000
+1.05670000000E+009, -3.29105428867E-001, +0.00000000000E+000
+1.05760000000E+009, -3.30484649861E-001, +0.00000000000E+000
+1.05850000000E+009, -3.31925065593E-001, +0.00000000000E+000
+1.05940000000E+009, -3.34114281343E-001, +0.00000000000E+000
+1.06030000000E+009, -3.33908876904E-001, +0.00000000000E+000
+1.06120000000E+009, -3.35803489933E-001, +0.00000000000E+000
+1.06210000000E+009, -3.35754078908E-001, +0.00000000000E+000
+1.06300000000E+009, -3.37993046491E-001, +0.00000000000E+000
+1.06390000000E+009, -3.36818270450E-001, +0.00000000000E+000
+1.06480000000E+009, -3.38262178417E-001, +0.00000000000E+000
+1.06570000000E+009, -3.39578837267E-001, +0.00000000000E+000
+1.06660000000E+009, -3.42728548377E-001, +0.00000000000E+000
+1.06750000000E+009, -3.43254276120E-001, +0.00000000000E+000
+1.06840000000E+009, -3.44202423135E-001, +0.00000000000E+000
+1.06930000000E+009, -3.45864017514E-001, +0.00000000000E+000
+1.07020000000E+009, -3.47597706312E-001, +0.00000000000E+000
+1.07110000000E+009, -3.47129360964E-001, +0.00000000000E+000
+1.07200000000E+009, -3.49310260132E-001, +0.00000000000E+000
+1.07290000000E+009, -3.50545700224E-001, +0.00000000000E+000
+1.07380000000E+009, -3.51362275717E-001, +0.00000000000E+000
+1.07470000000E+009, -3.52909098036E-001, +0.00000000000E+000
+1.07560000000E+009, -3.53579934905E-001, +0.00000000000E+000
+1.07650000000E+009, -3.55871106008E-001, +0.00000000000E+000
+1.07740000000E+009, -3.57266195948E-001, +0.00000000000E+000
+1.07830000000E+009, -3.58344563356E-001, +0.00000000000E+000
+1.07920000000E+009, -3.58787873234E-001, +0.00000000000E+000
+1.08010000000E+009, -3.61668381791E-001, +0.00000000000E+000
+1.08100000000E+009, -3.62104027106E-001, +0.00000000000E+000
+1.08190000000E+009, -3.63628505590E-001, +0.00000000000E+000
+1.08280000000E+009, -3.63857881967E-001, +0.00000000000E+000
+1.08370000000E+009, -3.66407664196E-001, +0.00000000000E+000
+1.08460000000E+009, -3.67085168881E-001, +0.00000000000E+000
+1.08550000000E+009, -3.70681351501E-001, +0.00000000000E+000
+1.08640000000E+009, -3.72252934145E-001, +0.00000000000E+000
+1.08730000000E+009, -3.72872359430E-001, +0.00000000000E+000
+1.08820000000E+009, -3.75163606710E-001, +0.00000000000E+000
+1.08910000000E+009, -3.76150809434E-001, +0.00000000000E+000
+1.09000000000E+009, -3.77080937341E-001, +0.00000000000E+000
+1.09090000000E+009, -3.78360398992E-001, +0.00000000000E+000
+1.09180000000E+009, -3.79388649302E-001, +0.00000000000E+000
+1.09270000000E+009, -3.81334673248E-001, +0.00000000000E+000
+1.09360000000E+009, -3.84099725995E-001, +0.00000000000E+000
+1.09450000000E+009, -3.84335962597E-001, +0.00000000000E+000
+1.09540000000E+009, -3.87098837597E-001, +0.00000000000E+000
+1.09630000000E+009, -3.90244515747E-001, +0.00000000000E+000
+1.09720000000E+009, -3.89784016800E-001, +0.00000000000E+000
+1.09810000000E+009, -3.92266928851E-001, +0.00000000000E+000
+1.09900000000E+009, -3.94719848143E-001, +0.00000000000E+000
+1.09990000000E+009, -3.96782874116E-001, +0.00000000000E+000
+1.10080000000E+009, -3.99060967312E-001, +0.00000000000E+000
+1.10170000000E+009, -4.01470198201E-001, +0.00000000000E+000
+1.10260000000E+009, -4.03335459555E-001, +0.00000000000E+000
+1.10350000000E+009, -4.05939493517E-001, +0.00000000000E+000
+1.10440000000E+009, -4.06528173275E-001, +0.00000000000E+000
+1.10530000000E+009, -4.09179764799E-001, +0.00000000000E+000
+1.10620000000E+009, -4.12872530035E-001, +0.00000000000E+000
+1.10710000000E+009, -4.13791344219E-001, +0.00000000000E+000
+1.10800000000E+009, -4.15197534731E-001, +0.00000000000E+000
+1.10890000000E+009, -4.19744463403E-001, +0.00000000000E+000
+1.10980000000E+009, -4.20126793506E-001, +0.00000000000E+000
+1.11070000000E+009, -4.22951725997E-001, +0.00000000000E+000
+1.11160000000E+009, -4.25317287462E-001, +0.00000000000E+000
+1.11250000000E+009, -4.27929127120E-001, +0.00000000000E+000
+1.11340000000E+009, -4.32359594485E-001, +0.00000000000E+000
+1.11430000000E+009, -4.34795646048E-001, +0.00000000000E+000
+1.11520000000E+009, -4.37763972063E-001, +0.00000000000E+000
+1.11610000000E+009, -4.39309429758E-001, +0.00000000000E+000
+1.11700000000E+009, -4.43805143552E-001, +0.00000000000E+000
+1.11790000000E+009, -4.46863342174E-001, +0.00000000000E+000
+1.11880000000E+009, -4.50493583342E-001, +0.00000000000E+000
+1.11970000000E+009, -4.51233597049E-001, +0.00000000000E+000
+1.12060000000E+009, -4.55012618787E-001, +0.00000000000E+000
+1.12150000000E+009, -4.58398900035E-001, +0.00000000000E+000
+1.12240000000E+009, -4.63043015009E-001, +0.00000000000E+000
+1.12330000000E+009, -4.65346579649E-001, +0.00000000000E+000
+1.12420000000E+009, -4.69445397861E-001, +0.00000000000E+000
+1.12510000000E+009, -4.74666272990E-001, +0.00000000000E+000
+1.12600000000E+009, -4.78565152292E-001, +0.00000000000E+000
+1.12690000000E+009, -4.80647346299E-001, +0.00000000000E+000
+1.12780000000E+009, -4.83616674345E-001, +0.00000000000E+000
+1.12870000000E+009, -4.86095335014E-001, +0.00000000000E+000
+1.12960000000E+009, -4.91534716292E-001, +0.00000000000E+000
+1.13050000000E+009, -4.97870126947E-001, +0.00000000000E+000
+1.13140000000E+009, -5.01674240757E-001, +0.00000000000E+000
+1.13230000000E+009, -5.05499661819E-001, +0.00000000000E+000
+1.13320000000E+009, -5.10312474978E-001, +0.00000000000E+000
+1.13410000000E+009, -5.14914047983E-001, +0.00000000000E+000
+1.13500000000E+009, -5.17569097408E-001, +0.00000000000E+000
+1.13590000000E+009, -5.18966233881E-001, +0.00000000000E+000
+1.13680000000E+009, -5.23978634042E-001, +0.00000000000E+000
+1.13770000000E+009, -5.26374521594E-001, +0.00000000000E+000
+1.13860000000E+009, -5.35076562133E-001, +0.00000000000E+000
+1.13950000000E+009, -5.40114564694E-001, +0.00000000000E+000
+1.14040000000E+009, -5.46327040865E-001, +0.00000000000E+000
+1.14130000000E+009, -5.52339993895E-001, +0.00000000000E+000
+1.14220000000E+009, -5.50305671795E-001, +0.00000000000E+000
+1.14310000000E+009, -5.56185486143E-001, +0.00000000000E+000
+1.14400000000E+009, -5.64689361600E-001, +0.00000000000E+000
+1.14490000000E+009, -5.70327986400E-001, +0.00000000000E+000
+1.14580000000E+009, -5.73582109512E-001, +0.00000000000E+000
+1.14670000000E+009, -5.80356589635E-001, +0.00000000000E+000
+1.14760000000E+009, -5.87679969641E-001, +0.00000000000E+000
+1.14850000000E+009, -5.93652395739E-001, +0.00000000000E+000
+1.14940000000E+009, -5.98669161736E-001, +0.00000000000E+000
+1.15030000000E+009, -6.04308766287E-001, +0.00000000000E+000
+1.15120000000E+009, -6.09071090163E-001, +0.00000000000E+000
+1.15210000000E+009, -6.19771065282E-001, +0.00000000000E+000
+1.15300000000E+009, -6.25307643357E-001, +0.00000000000E+000
+1.15390000000E+009, -6.30236886134E-001, +0.00000000000E+000
+1.15480000000E+009, -6.37707277532E-001, +0.00000000000E+000
+1.15570000000E+009, -6.44218875834E-001, +0.00000000000E+000
+1.15660000000E+009, -6.52174845461E-001, +0.00000000000E+000
