Empty Sensor Measured Frequencies (F1,F2,F3,F4,F5)
M1: (1412200000.0, 3375100000.0, 5526100000.0, 7456600000.0, 8908300000.0)

Cardboard Measured Frequencies (F1,F2,F3,F4,F5)
A1:  (1378900000.0, 3286000000.0, 5341600000.0, 7162300000.0, 8732800000.0)
A2:  (1387000000.0, 3294100000.0, 5325400000.0, 7182100000.0, 8807500000.0)
A3:  (1388800000.0, 3245500000.0, 5306500000.0, 7334200000.0, 8868700000.0)
A4:  (1387000000.0, 3301300000.0, 5458600000.0, 7354900000.0, 8789500000.0)
A5:  (1375300000.0, 3319300000.0, 5439700000.0, 7446700000.0, 8763400000.0)
A6:  (1383400000.0, 3319300000.0, 5404600000.0, 7296400000.0, 8750800000.0)
A7:  (1378000000.0, 3236500000.0, 5298400000.0, 7342300000.0, 8762500000.0)
A8:  (1375300000.0, 3276100000.0, 5239900000.0, 7210900000.0, 8747200000.0)
A9:  (1387000000.0, 3325600000.0, 5403700000.0, 7225300000.0, 8859700000.0)
A10: (1378000000.0, 3289600000.0, 5457700000.0, 7185700000.0, 8759800000.0)

Plastic Measured Frequencies (F1,F2,F3,F4,F5)
B1:  (1390600000.0, 3321100000.0, 5404600000.0, 7211800000.0, 8723800000.0)
B2:  (1365400000.0, 3223000000.0, 5235400000.0, 7156900000.0, 8658100000.0)
B3:  (1337500000.0, 3127600000.0, 5170600000.0, 7167700000.0, 8522200000.0)
B4:  (1343800000.0, 3317500000.0, 5482900000.0, 7456600000.0, 8561800000.0)
B5:  (1355500000.0, 3184300000.0, 5077900000.0, 7108300000.0, 8990200000.0)
B6:  (1355500000.0, 3268000000.0, 5409100000.0, 7397200000.0, 8646400000.0)
B7:  (1364500000.0, 3273400000.0, 5375800000.0, 7307200000.0, 8713000000.0)
B8:  (1324000000.0, 3101500000.0, 5072500000.0, 6913900000.0, 8533000000.0)
B9:  (1280800000.0, 3046600000.0, 5078800000.0, 7035400000.0, 8044300000.0)
B10: (1349200000.0, 3193300000.0, 5289400000.0, 7118200000.0, 8577100000.0)

Wood Measured Frequencies (F1,F2,F3,F4,F5)
C1:  (1349200000.0, 3307600000.0, 5467600000.0, 7391800000.0, 8712100000.0)
C2:  (1367200000.0, 3319300000.0, 5446000000.0, 7346800000.0, 8794900000.0)
C3:  (1297000000.0, 3142000000.0, 5174200000.0, 7063300000.0, 8423200000.0)
C4:  (1305100000.0, 3113200000.0, 5139100000.0, 6975100000.0, 9174700000.0)
C5:  (1270000000.0, 3087100000.0, 5062600000.0, 6874300000.0, 8116300000.0)
C6:  (1314100000.0, 3144700000.0, 5320000000.0, 7346800000.0, 8560900000.0)
C7:  (1359100000.0, 3338200000.0, 5438800000.0, 7123600000.0, 9005500000.0)
C8:  (1299700000.0, 3236500000.0, 5311900000.0, 7221700000.0, 9090100000.0)
C9:  (1368100000.0, 3322000000.0, 5473000000.0, 7444000000.0, 8797600000.0)
C10: (1367200000.0, 3304900000.0, 5430700000.0, 7376500000.0, 8823700000.0)

Cardboard Delta Frequencies (F1,F2,F3,F4,F5)
A1:  [3.330e+07, 8.910e+07, 1.845e+08, 2.943e+08, 1.755e+08]
A2:  [2.520e+07, 8.100e+07, 2.007e+08, 2.745e+08, 1.008e+08]
A3:  [2.340e+07, 1.296e+08, 2.196e+08, 1.224e+08, 3.960e+07]
A4:  [2.520e+07, 7.380e+07, 6.750e+07, 1.017e+08, 1.188e+08]
A5:  [3.690e+07, 5.580e+07, 8.640e+07, 9.900e+06, 1.449e+08]
A6:  [2.880e+07, 5.580e+07, 1.215e+08, 1.602e+08, 1.575e+08]
A7:  [3.420e+07, 1.386e+08, 2.277e+08, 1.143e+08, 1.458e+08]
A8:  [3.690e+07, 9.900e+07, 2.862e+08, 2.457e+08, 1.611e+08]
A9:  [2.520e+07, 4.950e+07, 1.224e+08, 2.313e+08, 4.860e+07]
A10: [3.420e+07, 8.550e+07, 6.840e+07, 2.709e+08, 1.485e+08]

Plastic Delta Frequencies (F1,F2,F3,F4,F5)
B1:  [2.160e+07, 5.400e+07, 1.215e+08, 2.448e+08, 1.845e+08]
B2:  [4.680e+07, 1.521e+08, 2.907e+08, 2.997e+08, 2.502e+08]
B3:  [7.470e+07, 2.475e+08, 3.555e+08, 2.889e+08, 3.861e+08]
B4:  [6.840e+07, 5.760e+07, 4.320e+07, 0.000e+00, 3.465e+08]
B5:  [5.670e+07,  1.908e+08,  4.482e+08,  3.483e+08, -8.190e+07]
B6:  [5.670e+07, 1.071e+08, 1.170e+08, 5.940e+07, 2.619e+08]
B7:  [4.770e+07, 1.017e+08, 1.503e+08, 1.494e+08, 1.953e+08]
B8:  [8.820e+07, 2.736e+08, 4.536e+08, 5.427e+08, 3.753e+08]
B9:  [1.314e+08, 3.285e+08, 4.473e+08, 4.212e+08, 8.640e+08]
B10: [6.300e+07, 1.818e+08, 2.367e+08, 3.384e+08, 3.312e+08]

Wood Delta Frequencies (F1,F2,F3,F4,F5)
C1:  [6.300e+07, 6.750e+07, 5.850e+07, 6.480e+07, 1.962e+08]
C2:  [4.500e+07, 5.580e+07, 8.010e+07, 1.098e+08, 1.134e+08]
C3:  [1.152e+08, 2.331e+08, 3.519e+08, 3.933e+08, 4.851e+08]
c4:  [ 1.071e+08,  2.619e+08,  3.870e+08,  4.815e+08, -2.664e+08]
c5:  [1.422e+08, 2.880e+08, 4.635e+08, 5.823e+08, 7.920e+08]
C6:  [9.810e+07, 2.304e+08, 2.061e+08, 1.098e+08, 3.474e+08]
C7:  [ 5.31e+07, 3.69e+07,  8.73e+07,  3.33e+08, -9.72e+07]
C8:  [ 1.125e+08,  1.386e+08,  2.142e+08,  2.349e+08, -1.818e+08]
C9:  [4.410e+07, 5.310e+07, 5.310e+07, 1.260e+07, 1.107e+08]
c10: [45000000., 70200000., 95400000., 80100000., 84600000.]
